cohort,controller,contract,status,implementation_state,mworks_codegen_state,generated_sil_state,selectable,mission_status,provenance_status,pre_takeoff_status,takeoff_reached,landing_disarm,hover_xy_rmse_m,hover_z_rmse_m,trajectory_status,first_blocker,evidence_paths,claim_ceiling,px4_startup_backend,trajectory_xyz_rmse_m,trajectory_xyz_p95_m,trajectory_xyz_max_m
P10_CLASSIC_RECONCILIATION,hinf_hover_wrench,canonical_controller_evidence_ladder,executed_blocked,implemented,passed,passed,False,blocked,passed,passed,False,True,5.153776893073671e-08,0.9999965508626686,not_run,takeoff_not_reached_altitude;hover_z_rmse_above_max:0.9999965508626686;hover_z_max_above_max:0.9999968082821794,Results/control_platform/p10_mworks_gap_closeout_20260718/hinf_hover_wrench/P10_HINF_MWORKS_MANIFEST.json;Results/control_platform/p10_mworks_gap_closeout_20260718/graphical_review_20260718/P10_MWORKS_GRAPHICAL_REVIEW.json;Results/control_platform/p10_generated_gazebo_20260718/hinf_hover_wrench/takeoff_hover_land/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/p10_generated_gazebo_20260718/hinf_hover_wrench/takeoff_hover_land/P10_GENERATED_RUNTIME_PROVENANCE.json,generated_c_gazebo_executed_hover_acceptance_blocked,,,,
P10_CLASSIC_RECONCILIATION,mu_synthesis,canonical_controller_evidence_ladder,not_run,blocked,blocked,not_run,False,,,,,,,,not_run,installed Syslab lacks dynamic musyn; constant-matrix mu analysis is not a controller,Results/control_platform/p2_mu_syslab_capability_20260716/SYSLAB_MU_CAPABILITY_AUDIT.json,syslab_constant_matrix_mu_analysis_available_but_dynamic_musyn_controller_synthesis_unavailable,,,,
P10_CLASSIC_RECONCILIATION,so3_attitude,canonical_controller_evidence_ladder,executed_blocked,implemented,passed,passed,False,blocked,passed,passed,True,True,0.04083779904344386,0.48095127557588563,not_run,hover_xy_rmse_above_max:0.04083779904344386;hover_xy_max_above_max:0.05997756805147423;hover_z_rmse_above_max:0.48095127557588563;hover_z_max_above_max:0.5150218145887941;truth_local_delta_error_bad_y:0.23807639186766805;truth_local_delta_error_bad_z:6.92057000192375,Results/control_platform/wave_a_generated_gazebo_20260718/so3_attitude/takeoff_hover_land_r1_ram_dataman_wait120/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/wave_a_generated_gazebo_20260718/so3_attitude/takeoff_hover_land_r1_ram_dataman_wait120/WAVE_A_GENERATED_RUNTIME_PROVENANCE.json;Results/control_platform/wave_a_generated_gazebo_20260718/so3_attitude/takeoff_hover_land_r1_ram_dataman_wait120/PX4_RAM_DATAMAN_RCS.json,generated_c_gazebo_executed_hover_acceptance_blocked,ram_dataman,,,
P10_CLASSIC_RECONCILIATION,backstepping_baseline,canonical_controller_evidence_ladder,executed_blocked,implemented,passed,passed,False,blocked,passed,passed,False,True,0.037253418577168254,0.7578290628291051,not_run,takeoff_not_reached_altitude;hover_xy_rmse_above_max:0.037253418577168254;hover_xy_max_above_max:0.05502251134614933;hover_z_rmse_above_max:0.7578290628291051;hover_z_max_above_max:0.7736349914784704;truth_local_delta_error_bad_z:6.094002934124275,Results/control_platform/wave_a_generated_gazebo_20260718/backstepping_baseline/takeoff_hover_land_r1_ram_dataman_wait120/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/wave_a_generated_gazebo_20260718/backstepping_baseline/takeoff_hover_land_r1_ram_dataman_wait120/WAVE_A_GENERATED_RUNTIME_PROVENANCE.json;Results/control_platform/wave_a_generated_gazebo_20260718/backstepping_baseline/takeoff_hover_land_r1_ram_dataman_wait120/PX4_RAM_DATAMAN_RCS.json,generated_c_gazebo_executed_hover_acceptance_blocked,ram_dataman,,,
P10_CLASSIC_RECONCILIATION,dfbc_high_order_attitude,canonical_controller_evidence_ladder,executed_blocked,implemented,passed,passed,False,blocked,passed,passed,True,True,0.022694170699504215,0.019159711464281096,not_run,hover_xy_rmse_above_max:0.022694170699504215,Results/control_platform/p10_mworks_gap_closeout_20260718/dfbc_family/closeout/dfbc_high_order_attitude_closeout.json;Results/control_platform/p10_generated_gazebo_20260718/dfbc_high_order_attitude/takeoff_hover_land/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/p10_generated_gazebo_20260718/dfbc_high_order_attitude/takeoff_hover_land/P10_GENERATED_RUNTIME_PROVENANCE.json,generated_c_gazebo_executed_hover_acceptance_blocked,,,,
P10_CLASSIC_RECONCILIATION,dfbc_high_order_bodyrate,canonical_controller_evidence_ladder,executed_blocked,implemented,passed,passed,False,blocked,passed,passed,False,True,388.90083765484377,0.9090992539551904,not_run,takeoff_not_reached_altitude;hover_xy_rmse_above_max:388.90083765484377;hover_xy_max_above_max:388.9008521258087;hover_z_rmse_above_max:0.9090992539551904;hover_z_max_above_max:0.9091101182569996;truth_local_delta_error_bad_x:1.3006710677856184;truth_local_delta_error_bad_y:26.586722513570408;truth_local_delta_error_bad_z:56.70824783044836,Results/control_platform/p10_mworks_gap_closeout_20260718/dfbc_family/closeout/dfbc_high_order_bodyrate_closeout.json;Results/control_platform/p10_generated_gazebo_20260718/dfbc_high_order_bodyrate/takeoff_hover_land/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/p10_generated_gazebo_20260718/dfbc_high_order_bodyrate/takeoff_hover_land/P10_GENERATED_RUNTIME_PROVENANCE.json,generated_c_gazebo_executed_hover_acceptance_blocked,,,,
P10_CLASSIC_RECONCILIATION,dfbc_smooth_robust_attitude,canonical_controller_evidence_ladder,executed_blocked,implemented,passed,passed,False,blocked,passed,passed,True,True,0.015080495879190125,0.02294967296848971,not_run,hover_z_rmse_above_max:0.02294967296848971,Results/control_platform/p10_mworks_gap_closeout_20260718/dfbc_family/closeout/dfbc_smooth_robust_attitude_closeout.json;Results/control_platform/p10_generated_gazebo_20260718/dfbc_smooth_robust_attitude/takeoff_hover_land/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/p10_generated_gazebo_20260718/dfbc_smooth_robust_attitude/takeoff_hover_land/P10_GENERATED_RUNTIME_PROVENANCE.json,generated_c_gazebo_executed_hover_acceptance_blocked,,,,
P10_CLASSIC_RECONCILIATION,dfbc_smooth_robust_bodyrate,canonical_controller_evidence_ladder,executed_blocked,blocked,passed,passed,False,blocked,passed,passed,True,True,1.7020303363706322,0.007292623280872322,not_run,hover_xy_rmse_above_max:1.7020303363706322;hover_xy_max_above_max:1.703046772861689,Results/control_platform/p10_mworks_gap_closeout_20260718/dfbc_family/closeout/dfbc_smooth_robust_bodyrate_closeout.json;Results/control_platform/p10_generated_gazebo_20260718/dfbc_smooth_robust_bodyrate/takeoff_hover_land/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/p10_generated_gazebo_20260718/dfbc_smooth_robust_bodyrate/takeoff_hover_land/P10_GENERATED_RUNTIME_PROVENANCE.json,generated_c_gazebo_executed_hover_acceptance_blocked,,,,
P10_CLASSIC_RECONCILIATION,l1_awff_minimal,canonical_controller_evidence_ladder,executed_blocked,implemented,passed,passed,False,blocked,passed,passed,True,True,0.04446566521921362,0.037847926928827776,not_run,hover_xy_rmse_above_max:0.04446566521921362;hover_xy_max_above_max:0.054247747142877605;hover_z_rmse_above_max:0.037847926928827776;hover_z_max_above_max:0.06364237491161329,Results/control_platform/p10_mworks_gap_closeout_20260718/l1_awff_minimal/P10_L1_AWFF_MWORKS_CLOSEOUT.json;Results/control_platform/p10_generated_gazebo_20260718/l1_awff_minimal/takeoff_hover_land/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/p10_generated_gazebo_20260718/l1_awff_minimal/takeoff_hover_land/P10_GENERATED_RUNTIME_PROVENANCE.json,generated_c_gazebo_executed_hover_acceptance_blocked,,,,
P10_CLASSIC_RECONCILIATION,dfbc_dob_eso_disabled,canonical_controller_evidence_ladder,executed_blocked,implemented,passed,passed,False,blocked,passed,passed,True,True,0.0403964178618284,0.022128457087451803,not_run,hover_xy_rmse_above_max:0.0403964178618284;hover_xy_max_above_max:0.052562335251571876;hover_z_rmse_above_max:0.022128457087451803,Results/control_platform/p10_mworks_gap_closeout_20260718/dfbc_family/closeout/dfbc_dob_eso_disabled_closeout.json;Results/control_platform/p10_generated_gazebo_20260718/dfbc_dob_eso_disabled/takeoff_hover_land/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/p10_generated_gazebo_20260718/dfbc_dob_eso_disabled/takeoff_hover_land/P10_GENERATED_RUNTIME_PROVENANCE.json,generated_c_gazebo_executed_hover_acceptance_blocked,,,,
