time_s,desired_attitude_w,desired_attitude_x,desired_attitude_y,desired_attitude_z,desired_collective_thrust_n,desired_acceleration_x,desired_acceleration_y,desired_acceleration_z,position_error_x,position_error_y,position_error_z,velocity_error_x,velocity_error_y,velocity_error_z,scheduled_gain_x,scheduled_gain_y,scheduled_gain_z,saturated,status_code,algorithm_id_out
0.11,0.9771102358206042,0.08320772083216764,0.1155729027180791,0.15803470000552775,12.145472353723644,3.062533648639679,-1.5312668243198395,11.652836918911742,1.0,-0.5,0.8,1.212,-0.606,0.8096000000000001,1.0,1.0,1.0,0.0,0.0,6.0
0.12,0.9770837351621666,0.08330398124234087,0.11570080538804517,0.15805424645760904,12.150072517911116,3.067065236479759,-1.5335326182398794,11.656142189183807,1.0,-0.5,0.8,1.2129999999999999,-0.6064999999999999,0.8104,1.0,1.0,1.0,0.0,0.0,6.0
0.13,0.9770573636555767,0.08339967021973685,0.11582792943675115,0.15807369767310533,12.154647522767645,3.0715724273598197,-1.5357862136799099,11.659427941887856,1.0,-0.5,0.8,1.214,-0.607,0.8112,1.0,1.0,1.0,0.0,0.0,6.0
0.14,0.9770310837587316,0.08349492561749138,0.11595445828919859,0.15809308134205802,12.159204497632997,3.076061820519864,-1.538030910259932,11.662699456415892,1.0,-0.5,0.8,1.2149999999999999,-0.6074999999999999,0.812,1.0,1.0,1.0,0.0,0.0,6.0
0.15,0.9770048673129542,0.08358985073963042,0.11608052937706867,0.15811241823355535,12.163748790992257,3.0805383653898986,-1.5402691826949493,11.665960692311918,1.0,-0.5,0.8,1.216,-0.608,0.8128000000000001,1.0,1.0,1.0,0.0,0.0,6.0
0.16,0.9769786932000002,0.08368452299849315,0.11620624566952319,0.15813172392385128,12.168284415318658,3.0850057740424237,-1.5425028870212119,11.669214619233939,1.0,-0.5,0.8,1.2169999999999999,-0.6084999999999999,0.8136000000000001,1.0,1.0,1.0,0.0,0.0,6.0
0.17,0.9769525455840408,0.083779000402372,0.11633168431256374,0.1581510100930264,12.172814380805386,3.0894668305318183,-1.5447334152659091,11.672463464425453,1.0,-0.5,0.8,1.218,-0.609,0.8144,1.0,1.0,1.0,0.0,0.0,6.0
0.18,0.9769264125925925,0.0838733264173443,0.11645690310227035,0.15817028549789552,12.177340945736148,3.0939236228988634,-1.5469618114494317,11.67570889831909,1.0,-0.5,0.8,1.2189999999999999,-0.6094999999999999,0.8152,1.0,1.0,1.0,0.0,0.0,6.0
0.19,0.9769002853268143,0.08396753361081918,0.11658194533517588,0.15818955670198612,12.181865804315114,3.098377717174148,-1.549188858587074,11.678952173739317,1.0,-0.5,0.8,1.22,-0.61,0.8160000000000001,1.0,1.0,1.0,0.0,0.0,6.0
0.2,0.9768741571189323,0.08406164638213243,0.11670684344271759,0.15820882862324065,12.186390227577485,3.1028302878806104,-1.5514151439403052,11.682194230304487,1.0,-0.5,0.8,1.2209999999999999,-0.6104999999999999,0.8168000000000001,1.0,1.0,1.0,0.0,0.0,6.0
