index,x,y,z
306,0.27999999999999936,0.17999999999999972,1.0
307,0.4399999999999995,0.17999999999999972,1.0
308,0.5999999999999996,0.33999999999999986,1.0
309,0.7599999999999998,0.33999999999999986,1.0
310,0.9199999999999999,0.5,1.0
311,1.08,0.5,1.0
312,1.2400000000000002,0.6600000000000001,1.0
313,1.4000000000000004,0.6600000000000001,1.0
314,1.5600000000000005,0.6600000000000001,1.0
315,1.7200000000000006,0.8200000000000003,1.0
316,1.8800000000000008,0.8200000000000003,1.0
317,2.040000000000001,0.9800000000000004,1.0
318,2.200000000000001,0.9800000000000004,1.0
319,2.3599999999999994,1.1400000000000006,1.0
320,2.5199999999999996,1.1400000000000006,1.0
321,2.6799999999999997,1.3000000000000007,1.0
322,2.84,1.3000000000000007,1.0
323,3.0,1.4600000000000009,1.0
324,3.16,1.4600000000000009,1.0
325,3.3200000000000003,1.4600000000000009,1.0
326,3.4800000000000004,1.620000000000001,1.0
327,3.6400000000000006,1.620000000000001,1.0
328,3.8000000000000007,1.7799999999999994,1.0
329,3.960000000000001,1.7799999999999994,1.0
330,4.120000000000001,1.9399999999999995,1.0
331,4.280000000000001,1.9399999999999995,1.0
332,4.4399999999999995,2.0999999999999996,1.0
333,4.6,2.0999999999999996,1.0
334,4.76,2.26,1.0
335,4.92,2.26,1.0
336,5.08,2.26,1.0
337,5.24,2.42,1.0
338,5.4,2.42,1.0
339,5.5600000000000005,2.58,1.0
340,5.720000000000001,2.58,1.0
341,5.880000000000001,2.74,1.0
342,6.040000000000001,2.74,1.0
343,6.200000000000001,2.74,1.0
344,6.359999999999999,2.9000000000000004,1.0
345,6.52,3.0600000000000005,1.0
346,6.68,3.0600000000000005,1.0
347,6.84,3.0600000000000005,1.0
348,7.0,3.2200000000000006,1.0
349,7.16,3.2200000000000006,1.0
350,7.32,3.380000000000001,1.0
351,7.48,3.380000000000001,1.0
352,7.640000000000001,3.540000000000001,1.0
353,7.800000000000001,3.540000000000001,1.0
354,7.960000000000001,3.700000000000001,1.0
355,8.120000000000001,3.700000000000001,1.0
356,8.280000000000001,3.8599999999999994,1.0
357,8.440000000000001,3.8599999999999994,1.0
358,8.600000000000001,3.8599999999999994,1.0
359,8.760000000000002,4.02,1.0
360,8.920000000000002,4.02,1.0
361,9.080000000000002,4.18,1.0
362,9.240000000000002,4.18,1.0
363,9.400000000000002,4.34,1.0
364,9.559999999999999,4.34,1.0
365,9.719999999999999,4.5,1.0
366,9.879999999999999,4.5,1.0
367,10.04,4.66,1.0
368,10.2,4.66,1.0
369,10.36,4.66,1.0
370,10.52,4.82,1.0
371,10.68,4.82,1.0
372,10.84,4.98,1.0
373,11.0,4.98,1.0
374,11.16,5.140000000000001,1.0
375,11.32,5.140000000000001,1.0
376,11.48,5.300000000000001,1.0
377,11.64,5.300000000000001,1.0
378,11.8,5.460000000000001,1.0
379,11.96,5.460000000000001,1.0
380,12.120000000000001,5.460000000000001,1.0
381,12.280000000000001,5.620000000000001,1.0
382,12.440000000000001,5.620000000000001,1.0
383,12.600000000000001,5.780000000000001,1.0
384,12.760000000000002,5.780000000000001,1.0
385,12.920000000000002,5.9399999999999995,1.0
386,13.080000000000002,5.9399999999999995,1.0
387,13.240000000000002,6.1,1.0
388,13.400000000000002,6.1,1.0
389,13.559999999999999,6.26,1.0
390,13.8,6.3,1.0
391,-5.96,-5.1,1.0
392,-5.8,-4.9399999999999995,1.0
393,-5.640000000000001,-4.9399999999999995,1.0
394,-5.48,-4.779999999999999,1.0
395,-5.32,-4.62,1.0
396,-5.16,-4.46,1.0
397,-5.0,-4.3,1.0
398,-4.84,-4.140000000000001,1.0
399,-4.68,-3.98,1.0
400,-4.52,-3.82,1.0
401,-4.36,-3.66,1.0
402,-4.2,-3.5,1.0
403,-4.04,-3.34,1.0
404,-3.88,-3.1799999999999997,1.0
405,-3.7199999999999998,-3.0199999999999996,1.0
406,-3.5599999999999996,-2.8600000000000003,1.0
407,-3.3999999999999995,-2.7,1.0
408,-3.24,-2.7,1.0
409,-3.08,-2.7,1.0
410,-2.92,-2.54,1.0
411,-2.76,-2.38,1.0
412,-2.5999999999999996,-2.2199999999999998,1.0
413,-2.4399999999999995,-2.0599999999999996,1.0
414,-2.2800000000000002,-1.8999999999999995,1.0
415,-2.12,-1.7400000000000002,1.0
416,-1.96,-1.58,1.0
417,-1.7999999999999998,-1.42,1.0
418,-1.6399999999999997,-1.2599999999999998,1.0
419,-1.4799999999999995,-1.0999999999999996,1.0
420,-1.3200000000000003,-0.9399999999999995,1.0
421,-1.1600000000000001,-0.7800000000000002,1.0
422,-1.0,-0.6200000000000001,1.0
423,-0.8399999999999999,-0.45999999999999996,1.0
424,-0.6799999999999997,-0.2999999999999998,1.0
425,-0.5199999999999996,-0.13999999999999968,1.0
426,-0.35999999999999943,-0.13999999999999968,1.0
427,-0.1999999999999993,-0.13999999999999968,1.0
428,-0.03999999999999915,0.020000000000000462,1.0
429,0.120000000000001,0.020000000000000462,1.0
430,0.27999999999999936,0.17999999999999972,1.0
431,0.4399999999999995,0.17999999999999972,1.0
432,0.5999999999999996,0.33999999999999986,1.0
433,0.7599999999999998,0.33999999999999986,1.0
434,0.9199999999999999,0.5,1.0
435,1.08,0.5,1.0
436,1.2400000000000002,0.6600000000000001,1.0
437,1.4000000000000004,0.6600000000000001,1.0
438,1.5600000000000005,0.6600000000000001,1.0
439,1.7200000000000006,0.8200000000000003,1.0
440,1.8800000000000008,0.8200000000000003,1.0
441,2.040000000000001,0.9800000000000004,1.0
442,2.200000000000001,0.9800000000000004,1.0
443,2.3599999999999994,1.1400000000000006,1.0
444,2.5199999999999996,1.1400000000000006,1.0
445,2.6799999999999997,1.3000000000000007,1.0
446,2.84,1.3000000000000007,1.0
447,3.0,1.4600000000000009,1.0
448,3.16,1.4600000000000009,1.0
449,3.3200000000000003,1.4600000000000009,1.0
450,3.4800000000000004,1.620000000000001,1.0
451,3.6400000000000006,1.620000000000001,1.0
452,3.8000000000000007,1.7799999999999994,1.0
453,3.960000000000001,1.7799999999999994,1.0
454,4.120000000000001,1.9399999999999995,1.0
455,4.280000000000001,1.9399999999999995,1.0
456,4.4399999999999995,2.0999999999999996,1.0
457,4.6,2.0999999999999996,1.0
458,4.76,2.26,1.0
459,4.92,2.42,1.0
460,5.08,2.58,1.0
461,5.24,2.74,1.0
462,5.4,2.9000000000000004,1.0
463,5.5600000000000005,3.0600000000000005,1.0
464,5.720000000000001,3.2200000000000006,1.0
465,5.880000000000001,3.380000000000001,1.0
466,6.040000000000001,3.540000000000001,1.0
467,6.200000000000001,3.700000000000001,1.0
468,6.359999999999999,3.700000000000001,1.0
469,6.52,3.700000000000001,1.0
470,6.68,3.700000000000001,1.0
471,6.84,3.700000000000001,1.0
472,7.0,3.700000000000001,1.0
473,7.16,3.700000000000001,1.0
474,7.32,3.700000000000001,1.0
475,7.48,3.700000000000001,1.0
476,7.640000000000001,3.700000000000001,1.0
477,7.800000000000001,3.700000000000001,1.0
478,7.960000000000001,3.700000000000001,1.0
479,8.120000000000001,3.700000000000001,1.0
480,8.280000000000001,3.8599999999999994,1.0
481,8.440000000000001,3.8599999999999994,1.0
482,8.600000000000001,3.8599999999999994,1.0
483,8.760000000000002,4.02,1.0
484,8.920000000000002,4.02,1.0
485,9.080000000000002,4.18,1.0
486,9.240000000000002,4.18,1.0
487,9.400000000000002,4.34,1.0
488,9.559999999999999,4.34,1.0
489,9.719999999999999,4.5,1.0
490,9.879999999999999,4.5,1.0
491,10.04,4.66,1.0
492,10.2,4.66,1.0
493,10.36,4.66,1.0
494,10.52,4.82,1.0
495,10.68,4.82,1.0
496,10.84,4.98,1.0
497,11.0,4.98,1.0
498,11.16,5.140000000000001,1.0
499,11.32,5.140000000000001,1.0
500,11.48,5.300000000000001,1.0
501,11.64,5.300000000000001,1.0
502,11.8,5.460000000000001,1.0
503,11.96,5.460000000000001,1.0
504,12.120000000000001,5.460000000000001,1.0
505,12.280000000000001,5.620000000000001,1.0
506,12.440000000000001,5.620000000000001,1.0
507,12.600000000000001,5.780000000000001,1.0
