time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,controller_mode,safety_active,event_code,return_ref_x,return_ref_y,return_ref_z
13.65,-3.4446034935530635e-11,6.029933382756314e-11,15.111087508733998,0.0,0.0,15.0,6.401738523036345e-12,7.032406155387529e-12,9.99209416462618e-11,14.915774813103855,-14.91577481240306,14.915774813112728,-14.915774812391634,1.0,0.0,10.0,3.4446034935530635e-11,-6.029933382756314e-11,-0.11108750873399842
13.66,-3.4316653369123956e-11,5.970337176279322e-11,15.105279775170237,0.0,0.0,15.0,6.059928370105865e-12,6.836540487107202e-12,9.998185925385542e-11,14.955987138598028,-14.955987137900834,14.955987138614312,-14.9559871378898,1.0,0.0,10.0,3.4316653369123956e-11,-5.970337176279322e-11,-0.10527977517023679
13.67,-3.4179764733270124e-11,5.910078030276909e-11,15.099591005800715,0.0,0.0,15.0,5.731505051530179e-12,6.632935412191903e-12,9.994771346571244e-11,14.990563802845623,-14.990563802151616,14.990563802868095,-14.99056380214196,1.0,0.0,10.0,3.4179764733270124e-11,-5.910078030276909e-11,-0.09959100580071478
13.68,-3.403555142297436e-11,5.849190007882288e-11,15.094026453547883,0.0,0.0,15.0,5.416986919211504e-12,6.4248437130259944e-12,9.981585442882794e-11,15.019762176739098,-15.019762176048012,15.019762176766584,-15.019762176040544,1.0,0.0,10.0,3.403555142297436e-11,-5.849190007882288e-11,-0.0940264535478832
13.69,-3.388420365515448e-11,5.787705114906676e-11,15.088590253523632,0.0,0.0,15.0,5.11546882136294e-12,6.21579222206668e-12,9.96017291722813e-11,15.043851277821114,-15.043851277132806,15.043851277852408,-15.043851277127672,1.0,0.0,10.0,3.388420365515448e-11,-5.787705114906676e-11,-0.08859025352363226
13.700000000000001,-3.3725925854379425e-11,5.7256534547833746e-11,15.08328584805487,0.0,0.0,15.0,4.824192676023367e-12,6.010640265478966e-12,9.932559750077484e-11,15.063104252407962,-15.063104251722457,15.063104252441878,-15.063104251719103,1.0,0.0,10.0,3.3725925854379425e-11,-5.7256534547833746e-11,-0.08328584805487083
13.71,-3.356091201340761e-11,5.663071286993198e-11,15.078116354828287,0.0,0.0,15.0,4.546007763260252e-12,5.8070674631577035e-12,9.893501144938455e-11,15.077797493989427,-15.07779749330706,15.077797494025038,-15.077797493305486,1.0,0.0,10.0,3.356091201340761e-11,-5.663071286993198e-11,-0.07811635482828727
13.72,-3.338937639400991e-11,5.59998690361168e-11,15.073083863955265,0.0,0.0,15.0,4.277692666200531e-12,5.6084160818891695e-12,9.843117124417515e-11,15.08820906658194,-15.08820906590332,15.088209066618463,-15.088209065903134,1.0,0.0,10.0,3.338937639400991e-11,-5.59998690361168e-11,-0.07308386395526512
13.73,-3.321153842216594e-11,5.53642582262385e-11,15.068189760328899,0.0,0.0,15.0,4.014717581263459e-12,5.418351198075047e-12,9.781596418867703e-11,15.094616384886654,-15.0946163842127,15.094616384923501,-15.094616384213104,1.0,0.0,10.0,3.321153842216594e-11,-5.53642582262385e-11,-0.06818976032889879
13.74,-3.302761440444869e-11,5.472413480079732e-11,15.063434881714956,0.0,0.0,15.0,3.753599792651611e-12,5.239113097762697e-12,9.708360980283583e-11,15.097295241603453,-15.097295240935344,15.097295241640248,-15.097295240935397,1.0,0.0,10.0,3.302761440444869e-11,-5.472413480079732e-11,-0.06343488171495615
