time,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,yaw_ref,segment_index
12.15,87.54,27.06546,2.2,0,0.729166666667,0,1.57079632679,13
12.2,87.54,27.1016193761,2.2,0,0.711273687954,0,1.57079632679,13
12.25,87.54,27.1360116817,2.2,0,0.658928389981,0,1.57079632679,13
12.3,87.54,27.1670032099,2.2,0,0.576131687243,0,1.57079632679,13
12.35,87.54,27.1932269817,2.2,0,0.469551770563,0,1.57079632679,13
12.4,87.54,27.2137161093,2.2,0,0.348524107097,0,1.57079632679,13
12.45,87.54,27.2280371605,2.2,0,0.225051440329,0,1.57079632679,13
12.5,87.54,27.2364235218,2.2,0,0.113803790073,0,1.57079632679,13
12.55,87.54,27.2399087629,2.2,0,0.0321184524717,0,1.57079632679,13
12.6,87.54,27.24046,2.2,0,0,0,1.57079632679,13
12.65,87.54,27.2410112371,2.2,0,0.0321184524717,0,1.57079632679,14
12.7,87.54,27.2444964782,2.2,0,0.113803790073,0,1.57079632679,14
12.75,87.54,27.2528828395,2.2,0,0.225051440329,0,1.57079632679,14
12.8,87.54,27.2672038907,2.2,0,0.348524107097,0,1.57079632679,14
12.85,87.54,27.2876930183,2.2,0,0.469551770563,0,1.57079632679,14
12.9,87.54,27.3139167901,2.2,0,0.576131687243,0,1.57079632679,14
12.95,87.54,27.3449083183,2.2,0,0.658928389981,0,1.57079632679,14
13,87.54,27.3793006239,2.2,0,0.711273687954,0,1.57079632679,14
13.05,87.54,27.41546,2.2,0,0.729166666667,0,1.57079632679,14
13.1,87.54,27.4516193761,2.2,0,0.711273687954,0,1.57079632679,14
13.15,87.54,27.4860116817,2.2,0,0.658928389981,0,1.57079632679,14
13.2,87.54,27.5170032099,2.2,0,0.576131687243,0,1.57079632679,14
13.25,87.54,27.5432269817,2.2,0,0.469551770563,0,1.57079632679,14
13.3,87.54,27.5637161093,2.2,0,0.348524107097,0,1.57079632679,14
13.35,87.54,27.5780371605,2.2,0,0.225051440329,0,1.57079632679,14
13.4,87.54,27.5864235218,2.2,0,0.113803790073,0,1.57079632679,14
13.45,87.54,27.5899087629,2.2,0,0.0321184524717,0,1.57079632679,14
13.5,87.54,27.59046,2.2,0,0,0,1.57079632679,14
13.55,87.54,27.5910112371,2.2,0,0.0321184524717,0,1.57079632679,15
13.6,87.54,27.5944964782,2.2,0,0.113803790073,0,1.57079632679,15
13.65,87.54,27.6028828395,2.2,0,0.225051440329,0,1.57079632679,15
13.7,87.54,27.6172038907,2.2,0,0.348524107097,0,1.57079632679,15
13.75,87.54,27.6376930183,2.2,0,0.469551770563,0,1.57079632679,15
13.8,87.54,27.6639167901,2.2,0,0.576131687243,0,1.57079632679,15
13.85,87.54,27.6949083183,2.2,0,0.658928389981,0,1.57079632679,15
13.9,87.54,27.7293006239,2.2,0,0.711273687954,0,1.57079632679,15
13.95,87.54,27.76546,2.2,0,0.729166666667,0,1.57079632679,15
14,87.54,27.8016193761,2.2,0,0.711273687954,0,1.57079632679,15
14.05,87.54,27.8360116817,2.2,0,0.658928389981,0,1.57079632679,15
14.1,87.54,27.8670032099,2.2,0,0.576131687243,0,1.57079632679,15
14.15,87.54,27.8932269817,2.2,0,0.469551770563,0,1.57079632679,15
14.2,87.54,27.9137161093,2.2,0,0.348524107097,0,1.57079632679,15
14.25,87.54,27.9280371605,2.2,0,0.225051440329,0,1.57079632679,15
14.3,87.54,27.9364235218,2.2,0,0.113803790073,0,1.57079632679,15
14.35,87.54,27.9399087629,2.2,0,0.0321184524717,0,1.57079632679,15
14.4,87.54,27.94046,2.2,0,0,0,1.57079632679,15
14.45,87.54,27.9410112371,2.2,0,0.0321184524717,0,1.57079632679,16
14.5,87.54,27.9444964782,2.2,0,0.113803790073,0,1.57079632679,16
14.55,87.54,27.9528828395,2.2,0,0.225051440329,0,1.57079632679,16
14.6,87.54,27.9672038907,2.2,0,0.348524107097,0,1.57079632679,16
14.65,87.54,27.9876930183,2.2,0,0.469551770563,0,1.57079632679,16
14.7,87.54,28.0139167901,2.2,0,0.576131687243,0,1.57079632679,16
14.75,87.54,28.0449083183,2.2,0,0.658928389981,0,1.57079632679,16
14.8,87.54,28.0793006239,2.2,0,0.711273687954,0,1.57079632679,16
14.85,87.54,28.11546,2.2,0,0.729166666667,0,1.57079632679,16
14.9,87.54,28.1516193761,2.2,0,0.711273687954,0,1.57079632679,16
14.95,87.54,28.1860116817,2.2,0,0.658928389981,0,1.57079632679,16
15,87.54,28.2170032099,2.2,0,0.576131687243,0,1.57079632679,16
15.05,87.54,28.2432269817,2.2,0,0.469551770563,0,1.57079632679,16
15.1,87.54,28.2637161093,2.2,0,0.348524107097,0,1.57079632679,16
15.15,87.54,28.2780371605,2.2,0,0.225051440329,0,1.57079632679,16
15.2,87.54,28.2864235218,2.2,0,0.113803790073,0,1.57079632679,16
15.25,87.54,28.2899087629,2.2,0,0.0321184524717,0,1.57079632679,16
15.3,87.54,28.29046,2.2,0,0,0,1.57079632679,16
15.35,87.54,28.2910112371,2.2,0,0.0321184524717,0,1.57079632679,17
15.4,87.54,28.2944964782,2.2,0,0.113803790073,0,1.57079632679,17
15.45,87.54,28.3028828395,2.2,0,0.225051440329,0,1.57079632679,17
15.5,87.54,28.3172038907,2.2,0,0.348524107097,0,1.57079632679,17
15.55,87.54,28.3376930183,2.2,0,0.469551770563,0,1.57079632679,17
15.6,87.54,28.3639167901,2.2,0,0.576131687243,0,1.57079632679,17
15.65,87.54,28.3949083183,2.2,0,0.658928389981,0,1.57079632679,17
15.7,87.54,28.4293006239,2.2,0,0.711273687954,0,1.57079632679,17
15.75,87.54,28.46546,2.2,0,0.729166666667,0,1.57079632679,17
15.8,87.54,28.5016193761,2.2,0,0.711273687954,0,1.57079632679,17
