time,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,ax_ref,ay_ref,az_ref,jx_ref,jy_ref,jz_ref,yaw_ref
4.3986392118,3.7392824535257323,-1.4601195910790445,1.5398804089209555,0.914430985610044,0.15240516426834066,0.15240516426834066,1.9045727419076024,0.31742879031793375,0.31742879031793375,-0.32520034051002944,-0.054200056751671576,-0.054200056751671576,0.16514867741462683
4.4186392118,3.7579515063352047,-1.4570080822774658,1.5429919177225342,0.952447841905803,0.1587413069843005,0.1587413069843005,1.896637878180022,0.31610631303000364,0.31610631303000364,-0.4677031869972317,-0.07795053116620528,-0.07795053116620528,0.16514867741462683
4.4386392118,3.777379120459742,-1.453770146590043,1.546229853409957,0.9902777334958133,0.16504628891596887,0.16504628891596887,1.8858879282377463,0.31431465470629105,0.31431465470629105,-0.6067089619795176,-0.1011181603299196,-0.1011181603299196,0.16514867741462683
4.4586392118,3.797560998250748,-1.450406500291542,1.549593499708458,1.027865058070082,0.17131084301168037,0.17131084301168037,1.8723928335108742,0.3120654722518123,0.3120654722518123,-0.7422176654568895,-0.12370294424281492,-0.12370294424281492,0.16514867741462685
4.4786392118,3.818491744001714,-1.446918042666381,1.553081957333619,1.0651556121472188,0.17752593535786979,0.17752593535786979,1.8562225354295028,0.3093704225715838,0.3093704225715838,-0.8742292974293466,-0.14570488290489111,-0.14570488290489111,0.16514867741462683
4.4986392118,3.8401648919247866,-1.443305851345869,1.556694148654131,1.102096591074433,0.18368276517907217,0.18368276517907217,1.8374469754237328,0.3062411625706221,0.3062411625706221,-1.002743857896887,-0.16712397631614787,-0.16712397631614787,0.16514867741462685
4.5186392118,3.8625729341273463,-1.4395711776454423,1.5604288223545577,1.1386365890275396,0.18977276483792327,0.18977276483792327,1.81613609492366,0.30268934915394335,0.30268934915394335,-1.127761346859514,-0.18796022447658567,-0.18796022447658567,0.16514867741462683
4.5386392118,3.8857073485885727,-1.4357154419019045,1.5642845580980955,1.1747255990109517,0.19578759983515862,0.19578759983515862,1.7923598353593844,0.29872663922656406,0.29872663922656406,-1.2492817643172238,-0.20821362738620394,-0.20821362738620394,0.16514867741462683
4.5586392118,3.909558627136022,-1.4317402288106629,1.5682597711893371,1.210315012857687,0.2017191688096145,0.2017191688096145,1.7661881381610038,0.29436468969350066,0.29436468969350066,-1.3673051102700187,-0.22788418504500313,-0.22788418504500313,0.16514867741462683
4.5786392118,3.9341163034221958,-1.4276472827629674,1.5723527172370326,1.2453576212293649,0.2075596035382275,0.2075596035382275,1.7376909447586175,0.28961515745976957,0.28961515745976957,-1.4818313847178985,-0.2469718974529831,-0.2469718974529831,0.16514867741462685
4.5986392118,3.9593689809011137,-1.4234385031831478,1.5765614968168522,1.2798076136162053,0.2133012689360342,0.2133012689360342,1.7069381965823214,0.2844896994303869,0.2844896994303869,-1.5928605876608646,-0.2654767646101441,-0.2654767646101441,0.16514867741462683
4.6186392118,3.9853043608048866,-1.4191159398658522,1.5808840601341478,1.3136205783370323,0.21893676305617205,0.21893676305617205,1.673999835062214,0.278999972510369,0.278999972510369,-1.7003927190989132,-0.28339878651648553,-0.28339878651648553,0.16514867741462683
4.6386392118,4.011909270120287,-1.4146817883132854,1.5853182116867146,1.3467535025392694,0.22445891708987825,0.22445891708987825,1.6389458016283984,0.2731576336047331,0.2731576336047331,-1.804427779032048,-0.300737963172008,-0.300737963172008,0.16514867741462685
4.6586392118,4.039169689565322,-1.4101383850724463,1.5898616149275537,1.3791647721989442,0.22986079536649068,0.22986079536649068,1.6018460377109653,0.2669743396184942,0.2669743396184942,-1.9049657674602676,-0.31749429457671124,-0.31749429457671124,0.16514867741462683
4.6786392118,4.067070781565808,-1.4054882030723654,1.5945117969276346,1.4108141721206846,0.23513569535344744,0.23513569535344744,1.5627704847400201,0.26046174745667,0.26046174745667,-2.0020066843835713,-0.3336677807305952,-0.3336677807305952,0.16514867741462685
4.6986392118,4.0955969182319345,-1.4007338469613442,1.5992661530386558,1.4416628859377218,0.240277147656287,0.240277147656287,1.5217890841456554,0.2536315140242759,0.2536315140242759,-2.095550529801959,-0.34925842163365983,-0.34925842163365983,0.16514867741462685
4.7186392118,4.124731709334847,-1.3958780484441922,1.6041219515558078,1.471673496111889,0.24527891601864815,0.24527891601864815,1.478971777357973,0.24649529622632882,0.24649529622632882,-2.185597303715434,-0.3642662172859057,-0.3642662172859057,0.16514867741462683
4.7386392118,4.15445803028321,-1.3909236616194651,1.6090763383805349,1.5008099839336198,0.25013499732226996,0.25013499732226996,1.4343885058070707,0.23906475096784513,0.23906475096784513,-2.2721470061239915,-0.3786911676873319,-0.3786911676873319,0.16514867741462683
4.7586392118,4.184758050099784,-1.3858736583167026,1.6141263416832974,1.529037729521951,0.25483962158699186,0.25483962158699186,1.3881092109230464,0.23135153515384105,0.23135153515384105,-2.3551996370276345,-0.3925332728379391,-0.3925332728379391,0.16514867741462685
4.7786392118,4.2156132593979985,-1.380731123433667,1.619268876566333,1.5563235118245216,0.2593872519707536,0.2593872519707536,1.3402038341359996,0.2233673056893333,0.2233673056893333,-2.434755196426364,-0.40579253273772736,-0.40579253273772736,0.16514867741462683
4.7986392118,4.247004498358518,-1.3754992502735803,1.6245007497264197,1.5826355086175714,0.26377258476959525,0.26377258476959525,1.2907423168760253,0.21512371947933756,0.21512371947933756,-2.5108136843201763,-0.418468947386696,-0.418468947386696,0.16514867741462685
4.8186392118,4.27891198470582,-1.3701813358823633,1.6298186641176367,1.6079432965059435,0.2679905494176572,0.2679905494176572,1.2397946005732237,0.20663243342887064,0.20663243342887064,-2.5833751007090733,-0.4305625167848455,-0.4305625167848455,0.16514867741462683
