time,eta1,eta2,eta3,eta4,fault_active,controller_mode,desired_thrust,desired_roll_moment,desired_pitch_moment,desired_yaw_moment,no_realloc_motor_1,no_realloc_motor_2,no_realloc_motor_3,no_realloc_motor_4,realloc_motor_1,realloc_motor_2,realloc_motor_3,realloc_motor_4,no_realloc_wrench_error,realloc_wrench_error,no_realloc_torque_error,realloc_torque_error
10.03,1.0,1.0,1.0,1.0,0,NORMAL,1.79472595216389,-0.015725243647000044,0.010762769260466994,-0.004672188318942235,0.37295767856719403,0.494508716235676,0.44653549219904703,0.480724065161973,0.37295767856719403,0.494508716235676,0.44653549219904703,0.480724065161973,3.547710968092581e-17,3.547710968092581e-17,3.547710968092581e-17,3.547710968092581e-17
10.04,1.0,1.0,1.0,1.0,0,NORMAL,1.7929719042759409,-0.016409015322344192,0.011253731163506248,-0.004986227116884913,0.3682706021979298,0.49695498559696777,0.4451115646586254,0.48263475182241794,0.3682706021979298,0.49695498559696777,0.4451115646586254,0.48263475182241794,3.9069808602088004e-17,3.9069808602088004e-17,3.9069808602088004e-17,3.9069808602088004e-17
10.05,1.0,1.0,1.0,1.0,0,NORMAL,1.7912212551127162,-0.01708485174349164,0.011741210005116099,-0.005296190939281287,0.36363419241110195,0.4993619629088226,0.4437065861572346,0.4845185136355571,0.36363419241110195,0.4993619629088226,0.4437065861572346,0.4845185136355571,2.2682463028732603e-16,2.2682463028732603e-16,4.63206900711648e-17,4.63206900711648e-17
10.06,1.0,1.0,1.0,1.0,0,NORMAL,1.7894748512726173,-0.017752426081946254,0.012225054909224455,-0.005601826469351416,0.3590514353080443,0.5017275044693076,0.44232221583907416,0.48637369565619126,0.3590514353080443,0.5017275044693076,0.44232221583907416,0.48637369565619126,6.3996956157e-17,6.3996956157e-17,6.3996956157e-17,6.3996956157e-17
10.07,1.0,1.0,1.0,1.0,0,NORMAL,1.7877335373010432,-0.01841141550468199,0.0127051161244735,-0.005902883927596382,0.35452527988813054,0.5040494995277425,0.44096008996911806,0.48819866791605215,0.35452527988813054,0.5040494995277425,0.44096008996911806,0.48819866791605215,3.689092489499296e-17,3.689092489499296e-17,3.689092489499296e-17,3.689092489499296e-17
10.08,1.0,1.0,1.0,1.0,0,NORMAL,1.7859981552819781,-0.01906150133026209,0.013181245070567551,-0.006199117275929339,0.35005863596437553,0.5063258720361481,0.4396218204111246,0.48999182687033,0.35005863596437553,0.5063258720361481,0.4396218204111246,0.48999182687033,2.2265363341913533e-16,2.2265363341913533e-16,1.6457031883953286e-17,1.6457031883953286e-17
10.09,1.0,1.0,1.0,1.0,0,NORMAL,1.7842695444307666,-0.019702369182950027,0.013653294384259577,-0.006490284418749313,0.3456543721081007,0.5085545823732283,0.43830899312812743,0.4917515968213102,0.3456543721081007,0.5085545823732283,0.43830899312812743,0.4917515968213102,3.813433585745618e-17,3.813433585745618e-17,3.813433585745618e-17,3.813433585745618e-17
10.1,1.0,1.0,1.0,1.0,0,NORMAL,1.7825485406882766,-0.02033370914473928,0.01412111796495995,-0.006776147400792914,0.34131531362421264,0.5107336290394814,0.4370231667067104,0.4934764313178722,0.34131531362421264,0.5107336290394814,0.4370231667067104,0.4934764313178722,3.2033725173538966e-17,3.2033725173538966e-17,3.2033725173538966e-17,3.2033725173538966e-17
10.11,1.0,1.0,1.0,1.0,0,NORMAL,1.7808359763166466,-0.020955215905226726,0.014584571019955384,-0.007056472601602437,0.33704424055861065,0.512861050322059,0.4357658709063386,0.4951648145296384,0.33704424055861065,0.512861050322059,0.4357658709063386,0.4951648145296384,5.2444911114692733e-17,5.2444911114692733e-17,5.2444911114692733e-17,5.2444911114692733e-17
10.12,1.0,1.0,1.0,1.0,0,NORMAL,1.7791326794968085,-0.021566588909258423,0.015043510109222577,-0.007331030926451168,0.3328438857392188,0.5149349259280116,0.4345386052349994,0.4968152625945787,0.3328438857392188,0.5149349259280116,0.4345386052349994,0.4968152625945787,2.4161902126951447e-17,2.4161902126951447e-17,2.4161902126951447e-17,2.4161902126951447e-17
10.13,1.0,1.0,1.0,1.0,0,NORMAL,1.7774394739279895,-0.02216753250227492,0.015497793189823314,-0.007599597993570437,0.3287169328521073,0.5169533785846006,0.4333428375523803,0.49842632493890143,0.3287169328521073,0.5169533785846006,0.4333428375523803,0.49842632493890143,5.629170997246952e-17,5.629170997246952e-17,5.629170997246952e-17,5.629170997246952e-17
10.14,1.0,1.0,1.0,1.0,0,NORMAL,1.775757178429378,-0.02275775607328719,0.01594727965986715,-0.007861954317524546,0.32466601455414784,0.5189145756053546,0.4321800027017986,0.49999658556807686,0.32466601455414784,0.5189145756053546,0.4321800027017986,0.49999658556807686,2.267118333718696e-16,2.267118333718696e-16,4.576514847043675e-17,4.576514847043675e-17
10.15,1.0,1.0,1.0,1.0,0,NORMAL,1.7740866065441483,-0.023336974195413928,0.01639183040202809,-0.008117885488584524,0.32069371062360763,0.5208167304206107,0.4310515011720577,0.5015246643278722,0.32069371062360763,0.5208167304206107,0.4310515011720577,0.5015246643278722,1.8440363494407353e-17,1.8440363494407353e-17,1.8440363494407353e-17,1.8440363494407353e-17
10.16,1.0,1.0,1.0,1.0,0,NORMAL,1.7724285661460388,-0.02390490676391142,0.01683130782660179,-0.008367182347953746,0.3168025461500712,0.5226581040712766,0.42995869779038565,0.5030092181343054,0.3168025461500712,0.5226581040712766,0.42995869779038565,0.5030092181343054,2.2390704291028953e-16,2.2390704291028953e-16,2.881939084222627e-17,2.881939084222627e-17
10.17,1.0,1.0,1.0,1.0,0,NORMAL,1.770783859048673,-0.02446127913162927,0.017265575914089965,-0.00860964115870209,0.3129949897650408,0.5244370066646014,0.42890292044759426,0.5044489421714367,0.3129949897650408,0.5244370066646014,0.42890292044759426,0.5044489421714367,1.1107649934270853e-17,1.1107649934270853e-17,1.1107649934270853e-17,1.1107649934270853e-17
10.18,1.0,1.0,1.0,1.0,0,NORMAL,1.7691532806178083,-0.02500582224182767,0.017694500257298712,-0.008845063772269193,0.30927345191453326,0.5261517987907633,0.42788545885655094,0.5058425710559608,0.30927345191453326,0.5261517987907633,0.42788545885655094,0.5058425710559608,2.2484586062492888e-17,2.2484586062492888e-17,2.2484586062492888e-17,2.2484586062492888e-17
10.19,1.0,1.0,1.0,1.0,0,NORMAL,1.767537619386704,-0.025538272758290785,0.01811794810293827,-0.009073257790400685,0.3056402831749634,0.5278008928991158,0.4269075633450439,0.507188879967581,0.3056402831749634,0.5278008928991158,0.4269075633450439,0.507188879967581,6.871344576781776e-17,6.871344576781776e-17,6.871344576781776e-17,6.871344576781776e-17
10.2,1.0,1.0,1.0,1.0,0,NORMAL,1.7659376566747944,-0.02605837319267373,0.018535788392709997,-0.00929403672238481,0.30209777261357007,0.5293827546329661,0.4259704436840803,0.5084866857441779,0.30209777261357007,0.5293827546329661,0.4259704436840803,0.5084866857441779,3.004629197474319e-17,3.004629197474319e-17,3.004629197474319e-17,3.004629197474319e-17
10.21,1.0,1.0,1.0,1.0,0,NORMAL,1.7643541662098483,-0.026565872029022036,0.018947891803869743,-0.009507220137461471,0.2986481461946001,0.530895904121797,0.42507526795263284,0.5097348479408184,0.2986481461946001,0.530895904121797,0.42507526795263284,0.5097348479408184,1.4409695421113136e-17,1.4409695421113136e-17,1.4409695421113136e-17,1.4409695421113136e-17
10.22,1.0,1.0,1.0,1.0,0,NORMAL,1.7627879137538034,-0.02706052384540172,0.019354130789253066,-0.009712633812278375,0.2952935652324439,0.5323389172298659,0.4242231614398183,0.5109322698516753,0.2952935652324439,0.5323389172298659,0.4242231614398183,0.5109322698516753,2.223425606130996e-16,2.223425606130996e-16,1.1506853769672337e-17,1.1506853769672337e-17
10.23,1.0,1.0,1.0,1.0,0,NORMAL,1.7612396567324482,-0.02754208943258399,0.01975437961675229,-0.009910109873274633,0.29203612489285635,0.533710426760167,0.4234152055854571,0.5120778994939678,0.29203612489285635,0.533710426760167,0.4234152055854571,0.5120778994939678,2.881939084222627e-17,2.881939084222627e-17,2.881939084222627e-17,2.881939084222627e-17
10.24,1.0,1.0,1.0,1.0,0,NORMAL,1.7597101438691394,-0.028010335909724213,0.02014851440823012,-0.010099486933874594,0.2888778527433933,0.5350091236127594,0.42265243695993315,0.5131707305530535,0.2888778527433933,0.5350091236127594,0.42265243695993315,0.5131707305530535,2.459394992999531e-17,2.459394992999531e-17,2.459394992999531e-17,2.459394992999531e-17
10.25,1.0,1.0,1.0,1.0,0,NORMAL,1.7582001148227242,-0.028465036836981397,0.020536413177860667,-0.010280610226380606,0.2858207073541177,0.5362337578965204,0.4219358462842344,0.5142098032878517,0.2858207073541177,0.5362337578965204,0.4219358462842344,0.5142098032878517,2.5788518451458537e-17,2.5788518451458537e-17,2.5788518451458537e-17,2.5788518451458537e-17
10.26,1.0,1.0,1.0,1.0,0,NORMAL,1.75671029982985,-0.02890597232502204,0.02091795586988434,-0.010453331728456229,0.282866576949624,0.5373831399934,0.4212663774910306,0.5151942053957954,0.282866576949624,0.5373831399934,0.4212663774910306,0.5151942053957954,2.881939084222627e-17,2.881939084222627e-17,2.881939084222627e-17,2.881939084222627e-17
10.27,1.0,1.0,1.0,1.0,0,NORMAL,1.7552414193518266,-0.029332929141356982,0.02129302439576535,-0.010617510284096979,0.2800172781133674,0.5384561415743088,0.42064492682759624,0.5161230728365542,0.2800172781133674,0.5384561415743088,0.42064492682759624,0.5161230728365542,4.9096045625102536e-17,4.9096045625102536e-17,4.9096045625102536e-17,4.9096045625102536e-17
10.28,1.0,1.0,1.0,1.0,0,NORMAL,1.753794183726219,-0.02974570081345857,0.02166150267074077,-0.01077301171898955,0.27727455454525374,0.539451696565798,0.4200723420013631,0.5169955906138042,0.27727455454525374,0.539451696565798,0.4200723420013631,0.5169955906138042,3.314184547378654e-17,3.314184547378654e-17,3.314184547378654e-17,3.314184547378654e-17
10.29,1.0,1.0,1.0,1.0,0,NORMAL,1.7523692928233319,-0.030144087728609242,0.022023276649748617,-0.010919708950165205,0.27464007587340356,0.5403688020667384,0.4195494213688422,0.5178109935143477,0.27464007587340356,0.5403688020667384,0.4195494213688422,0.5178109935143477,2.2900978100966543e-16,2.2900978100966543e-16,5.605063087764203e-17,5.605063087764203e-17
10.3,1.0,1.0,1.0,1.0,0,NORMAL,1.7509674357077618,-0.030527897230432085,0.022378234362725503,-0.011057482089857993,0.2721154365209604,0.5412065192142386,0.4190769131686204,0.5185685668039425,0.2721154365209604,0.5412065192142386,0.4190769131686204,0.5185685668039425,2.2299126384602594e-16,2.2299126384602594e-16,2.0525524970989362e-17,2.0525524970989362e-17
10.31,1.0,1.0,1.0,1.0,0,NORMAL,1.7495892903051704,-0.030896943712057815,0.022726265949261325,-0.01118621854348244,0.26970215462877334,0.5419639739980859,0.41865551479910434,0.5192676468792068,0.26970215462877334,0.5419639739980859,0.41865551479910434,0.5192676468792068,1.2981481815797576e-17,1.2981481815797576e-17,1.2981481815797576e-17,1.2981481815797576e-17
10.32,1.0,1.0,1.0,1.0,0,NORMAL,1.7482355230744446,-0.03125104870588283,0.023067263692601724,-0.011305813101651126,0.26740167103473444,0.5426403580230387,0.41828587214163593,0.5199076218750356,0.26740167103473444,0.5426403580230387,0.41828587214163593,0.5199076218750356,1.1107649934270853e-17,1.1107649934270853e-17,1.1107649934270853e-17,1.1107649934270853e-17
10.33,1.0,1.0,1.0,1.0,0,NORMAL,1.7469067886854035,-0.03159004096987454,0.02340112205298673,-0.01141616802615668,0.26521534831051574,0.543234929218334,0.41796857892957473,0.520487932226979,0.26521534831051574,0.543234929218334,0.41796857892957473,0.520487932226979,2.2602721305278605e-16,2.2602721305278605e-16,4.224327714674015e-17,4.224327714674015e-17
10.34,1.0,1.0,1.0,1.0,0,NORMAL,1.7456037297022067,-0.03191375657038224,0.023727737700315246,-0.01151719312984793,0.2631444698564058,0.543747012493822,0.41770417616389877,0.5210080711880801,0.2631444698564058,0.543747012493822,0.41770417616389877,0.5210080711880801,4.09409441112991e-17,4.09409441112991e-17,4.09409441112991e-17,4.09409441112991e-17
10.35,1.0,1.0,1.0,1.0,0,NORMAL,1.744326976272615,-0.03222203896141416,0.024047009546126298,-0.011608805850335021,0.26119023905488903,0.5441760003421787,0.4174931515758349,0.5214675852997124,0.26119023905488903,0.5441760003421787,0.4174931515758349,0.5214675852997124,2.949029909160572e-17,2.949029909160572e-17,2.949029909160572e-17,2.949029909160572e-17
10.36,1.0,1.0,1.0,1.0,0,NORMAL,1.7430771458232572,-0.032514739060341684,0.02435883877488613,-0.011690931317463234,0.259353778483582,0.5445213533866963,0.41733593913699263,0.5218660748159863,0.259353778483582,0.5445213533866963,0.41733593913699263,0.5218660748159863,2.2371880660723027e-16,2.2371880660723027e-16,2.7318452618149036e-17,2.7318452618149036e-17
10.37,1.0,1.0,1.0,1.0,0,NORMAL,1.741854842761048,-0.032791715319994336,0.02466312887457182,-0.011763502414500337,0.257636129188084,0.544782600874185,0.4172329186174346,0.5222031940813445,0.257636129188084,0.544782600874185,0.4172329186174346,0.5222031940813445,4.592924060129499e-17,4.592924060129499e-17,4.592924060129499e-17,4.592924060129499e-17
10.38,1.0,1.0,1.0,1.0,0,NORMAL,1.740660658180901,-0.03305283379711096,0.024959785666542333,-0.011826459832987466,0.2560382500152558,0.5449593411125772,0.4171844151920704,0.5224786518609976,0.2560382500152558,0.5449593411125772,0.4171844151920704,0.5224786518609976,4.734873626495502e-17,4.734873626495502e-17,4.734873626495502e-17,4.734873626495502e-17
10.39,1.0,1.0,1.0,1.0,0,NORMAL,1.7394951695798822,-0.033297968217113054,0.02524871733468646,-0.011879752121208762,0.2545610170073982,0.5450512418528582,0.41719069909573026,0.5226922116238955,0.2545610170073982,0.5450512418528582,0.41719069909573026,0.5226922116238955,2.173602285337623e-17,2.173602285337623e-17,2.173602285337623e-17,2.173602285337623e-17
