time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,wind_force_x_n,wind_force_y_n,wind_force_z_n
54.29,3.5170985736297102,-6.744629600783339,9.980275966041996,3.4293842070752008,-6.575330573229077,10.0,0.006771961102170501,0.0035085746621803795,0.0,0.5396549639410471,0.5094266419042883,0.5320978834318574,0.516983722413478,0.0,0.0,0.0
54.3,3.5114597095432263,-6.7355656280059355,9.980306563136164,3.4234813708573686,-6.565857557529559,10.0,0.006788322819055068,0.0035191335474343078,0.0,0.5400927076831032,0.5091964226385777,0.5323686364219719,0.5169204938997091,0.0,0.0,0.0
54.31,3.505820608125661,-6.7264909239622686,9.980338755387951,3.4175771831033126,-6.5563741734447545,10.0,0.006804670020700563,0.003529737000893931,0.0,0.5405296452283561,0.5089668957779399,0.532638957865752,0.516857583140544,0.0,0.0,0.0
54.32,3.500181256312471,-6.717405476737236,9.980372540189803,3.411671646143905,-6.546880435950202,10.0,0.006821001631481352,0.003540384406742625,0.0,0.5409657589729568,0.5087380763854459,0.5329088383260792,0.5167949970323236,0.0,0.0,0.0
54.33,3.4945416409666445,-6.708309274447332,9.980407914805166,3.405764762310566,-6.537376360037824,10.0,0.006837316576380346,0.0035510751462431503,0.0,0.5414010313512838,0.5085099794873635,0.5331782683853038,0.5167327424533436,0.0,0.0,0.0
54.34,3.4889017488797203,-6.6992023052438885,9.98044487636872,3.399856533935231,-6.527861960715836,10.0,0.006853613781122085,0.0035618085977795746,0.0,0.5418354448367604,0.5082826200723729,0.5334472386456636,0.5166708262634697,0.0,0.0,0.0
54.35,3.483261566772755,-6.690084557316241,9.980483421886596,3.3939469633503805,-6.5183372530087915,10.0,0.0068698921722979735,0.003572584136894985,0.0,0.5422689819426673,0.5080560130907835,0.5337157397296963,0.5166092553037545,0.0,0.0,0.0
54.36,3.477621081297339,-6.6809560188948955,9.980523548236627,3.3880360528890225,-6.508802251957487,10.0,0.006886150677496339,0.0035834011363326647,0.0,0.5427016252229521,0.5078301734537559,0.533983762280653,0.516548036396055,0.0,0.0,0.0
54.37,3.4719802790365746,-6.671816678254762,9.980565252168603,3.3821238048846824,-6.4992569726189995,10.0,0.006902388225430513,0.003594258966075685,0.0,0.5431333572730422,0.5076051160325209,0.5342512969629118,0.5164871763426513,0.0,0.0,0.0
54.38,3.4663391465061104,-6.662666523718298,9.980608530304528,3.376210221671427,-6.489701430066628,10.0,0.006918603746066801,0.0036051569933873394,0.0,0.5435641607306508,0.5073808556576042,0.5345183344623892,0.5164266819258658,0.0,0.0,0.0
