time,x,y,z,x_ref,y_ref,z_ref
91.62,-9.136663457132999,-7.465539046331304,9.999981618588588,-9.111733015259277,-7.392080827754686,10.0
91.63,-9.134066544391526,-7.474095971236381,9.999981607522477,-9.109142397987714,-7.400538151871083,10.0
91.64,-9.131466035156343,-7.482641124941186,9.99998159640876,-9.106548184570993,-7.408983789527592,10.0
91.65,-9.128861873362377,-7.491174306683619,9.999981585325022,-9.10395037603327,-7.417417727387398,10.0
91.66,-9.126254163837624,-7.499695843491397,9.999981574264815,-9.10134897340012,-7.42583995213215,10.0
91.67,-9.12364285938059,-7.5082055636258715,9.99998156364457,-9.098743977698527,-7.434250450462029,10.0
91.68,-9.121027948895783,-7.516703413827904,9.999981553374097,-9.09613538995691,-7.442649209095699,10.0
91.69,-9.118409325710786,-7.525189025224071,9.999981543031618,-9.0935232112051,-7.451036214770362,10.0
91.7,-9.115787191583617,-7.533663046725554,9.999981532222312,-9.090907442474332,-7.459411454241825,10.0
91.71000000000001,-9.113161464547062,-7.5421251911673535,9.999981521740008,-9.08828808479728,-7.467774914284408,10.0
91.72,-9.1105321041093,-7.55057530737143,9.999981511791564,-9.085665139208029,-7.476126581691065,10.0
91.73,-9.107899173994554,-7.559013589654332,9.999981501965983,-9.083038606742067,-7.484466443273397,10.0
91.74,-9.105262630888808,-7.567439877668033,9.999981492230347,-9.080408488436309,-7.492794485861613,10.0
91.75,-9.102622536321816,-7.575854359382455,9.99998148242058,-9.077774785329085,-7.501110696304596,10.0
91.76,-9.099978843689113,-7.584256863150793,9.999981472926875,-9.07513749846014,-7.509415061469916,10.0
91.77,-9.097331517595261,-7.592647254067546,9.9999814635587,-9.072496628870638,-7.517707568243834,10.0
91.78,-9.094680639899904,-7.601025788565048,9.999981454069857,-9.06985217760314,-7.525988203531385,10.0
91.79,-9.092026100460336,-7.609392081649054,9.999981444698543,-9.067204145701645,-7.534256954256281,10.0
91.8,-9.089368044371284,-7.617746602056612,9.999981435326411,-9.064552534211552,-7.542513807361036,10.0
91.81,-9.086706380825827,-7.626089029056164,9.999981426375276,-9.061897344179672,-7.550758749806976,10.0
91.82000000000001,-9.084041070253798,-7.634419212681604,9.999981417606667,-9.059238576654232,-7.558991768574198,10.0
91.83,-9.08137213392226,-7.642737207212049,9.9999814085717,-9.056576232684872,-7.567212850661642,10.0
91.84,-9.078699553155653,-7.651042932498678,9.999981399330979,-9.053910313322648,-7.575421983087087,10.0
91.85000000000001,-9.076023556175286,-7.659337141415236,9.9999813901823,-9.051240819620013,-7.583619152887226,10.0
91.86,-9.073343943237953,-7.667619143769567,9.99998138226681,-9.048567752630852,-7.591804347117563,10.0
91.87,-9.07066076302876,-7.675889087350523,9.999981374837512,-9.04589111341044,-7.599977552852593,10.0
91.88,-9.067973957117436,-7.684146758015191,9.999981367204239,-9.04321090301548,-7.608138757185687,10.0
91.89,-9.065283500088977,-7.692392052617857,9.999981359018337,-9.040527122504065,-7.616287947229223,10.0
91.9,-9.06258957526998,-7.700625576722202,9.999981350559265,-9.037839772935719,-7.624425110114483,10.0
91.91,-9.059892082920678,-7.708846975313826,9.999981342769484,-9.035148855371368,-7.632550232991777,10.0
91.92,-9.0571909616117,-7.717056022227289,9.999981335735976,-9.032454370873333,-7.640663303030449,10.0
91.93,-9.054486309285393,-7.725253034658749,9.999981328516416,-9.029756320505355,-7.648764307418854,10.0
91.94,-9.051778116440845,-7.733437964289358,9.999981321228924,-9.027054705332594,-7.656853233364365,10.0
91.95,-9.049066276372761,-7.741610429848383,9.99998131424946,-9.024349526421592,-7.664930068093501,10.0
91.96000000000001,-9.046350911756972,-7.749770834270628,9.999981307149179,-9.021640784840313,-7.672994798851823,10.0
91.97,-9.043631904648578,-7.757918756914506,9.99998130004481,-9.018928481658135,-7.681047412904011,10.0
91.98,-9.040909420813376,-7.766054749739075,9.99998129296906,-9.016212617945815,-7.689087897533922,10.0
91.99,-9.038183377555335,-7.774178512749165,9.99998128636869,-9.013493194775549,-7.697116240044487,10.0
92.0,-9.035453754790401,-7.782289960254046,9.999981280223093,-9.010770213220914,-7.705132427757892,10.0
92.01,-9.032720489105325,-7.7903888570380175,9.99998127399594,-9.008043674356902,-7.713136448015471,10.0
92.02,-9.02998364848371,-7.79847542073258,9.999981267173402,-9.00531357925991,-7.7211282881777725,10.0
92.03,-9.027243323037363,-7.806549946339802,9.999981260294085,-9.002579929007727,-7.729107935624623,10.0
92.04,-9.024499428687765,-7.814612126764197,9.999981254286952,-8.999842724679565,-7.737075377755037,10.0
92.05,-9.021752000355264,-7.822662066479935,9.999981248764161,-8.997101967356029,-7.745030601987335,10.0
92.06,-9.019000916636347,-7.8306993279658315,9.99998124322344,-8.99435765811912,-7.752973595759157,10.0
92.07000000000001,-9.016246285687796,-7.838724269942667,9.999981237178776,-8.991609798052249,-7.760904346527417,10.0
92.08,-9.013488114863216,-7.846736901751487,9.999981231024508,-8.988858388240233,-7.768822841768367,10.0
92.09,-9.010726382639637,-7.854737131946245,9.999981225244545,-8.986103429769274,-7.776729068977657,10.0
92.10000000000001,-9.007961148471146,-7.8627251514246295,9.999981219918542,-8.983344923726998,-7.78462301567024,10.0
92.11,-9.005192310253847,-7.870700587423229,9.999981215083356,-8.980582871202419,-7.792504669380498,10.0
92.12,-9.002419927732682,-7.878663632284373,9.999981210070024,-8.977817273285941,-7.800374017662246,10.0
92.13,-8.99964402322081,-7.8866143481529605,9.99998120483342,-8.975048131069391,-7.808231048088685,10.0
92.14,-8.996864556294806,-7.894552577028415,9.99998119989018,-8.972275445645968,-7.816075748252526,10.0
92.15,-8.994081475283252,-7.902478120883257,9.999981195091298,-8.969499218110297,-7.823908105765884,10.0
92.16,-8.991294863646715,-7.910391256221736,9.999981190090551,-8.966719449558386,-7.831728108260398,10.0
92.17,-8.988504743574673,-7.918292045012904,9.999981185198253,-8.96393614108764,-7.839535743387237,10.0
92.18,-8.98571097645239,-7.92617998221408,9.999981180758967,-8.961149293796863,-7.847330998817079,10.0
92.19,-8.982913700624122,-7.934055539061778,9.999981176185342,-8.958358908786268,-7.85511386224012,10.0
92.2,-8.980112872807902,-7.941918546588635,9.99998117178246,-8.955564987157446,-7.86288432136619,10.0
92.21000000000001,-8.977308555323873,-7.949769209041734,9.999981167721426,-8.952767530013396,-7.870642363924661,10.0
92.22,-8.97450066555486,-7.957607217809911,9.999981164008448,-8.94996653845851,-7.8783879776645245,10.0
92.23,-8.971689288667013,-7.965432858744156,9.999981160364614,-8.947162013598577,-7.88612115035439,10.0
92.24,-8.96887437156576,-7.9732459275021395,9.999981156910861,-8.944353956540775,-7.893841869782543,10.0
92.25,-8.96605587805878,-7.98104627897898,9.99998115357495,-8.94154236839368,-7.901550123756902,10.0
92.26,-8.963233842187025,-7.988834017973709,9.999981149981567,-8.938727250267263,-7.909245900105095,10.0
92.27,-8.9604082924204,-7.99660922980544,9.999981146208206,-8.9359086032729,-7.916929186674395,10.0
92.28,-8.957579209763665,-8.004371830429621,9.99998114276751,-8.93308642852333,-7.924599971331898,10.0
92.29,-8.954746538063976,-8.012121602588008,9.999981139696471,-8.930260727132708,-7.932258241964379,10.0
92.3,-8.951910384013832,-8.019858911776875,9.999981136514528,-8.927431500216585,-7.93990398647835,10.0
92.31,-8.949070640200297,-8.02758335703634,9.9999811334488,-8.924598748891887,-7.947537192800168,10.0
92.32000000000001,-8.946227380205443,-8.035295185813316,9.999981130460851,-8.92176247427694,-7.95515784887595,10.0
92.33,-8.943380627308649,-8.04299446582363,9.999981127662902,-8.918922677491462,-7.962765942671638,10.0
92.34,-8.94053032592774,-8.050680981058454,9.999981125223373,-8.91607935965656,-7.970361462173013,10.0
92.35000000000001,-8.93767642384392,-8.058354526876592,9.999981122844368,-8.913232521894729,-7.977944395385714,10.0
92.36,-8.934818981479877,-8.066015304514535,9.99998112007453,-8.910382165329862,-7.985514730335245,10.0
92.37,-8.93195803971628,-8.073663445403252,9.999981117241246,-8.907528291087221,-7.993072455067043,10.0
92.38,-8.929093641160922,-8.081299087760003,9.999981114927579,-8.904670900293485,-8.000617557646388,10.0
92.39,-8.926225732626106,-8.088922023265729,9.9999811135188,-8.901809994076698,-8.008150026158566,10.0
92.4,-8.923354304169115,-8.096532199967434,9.999981112424251,-8.898945573566303,-8.015669848708768,10.0
92.41,-8.9204792739235,-8.104129304692261,9.999981111038935,-8.896077639893132,-8.023177013422158,10.0
92.42,-8.917600774411126,-8.111713802749989,9.99998110902443,-8.893206194189386,-8.030671508443932,10.0
92.43,-8.914718706330058,-8.119285316880285,9.99998110700954,-8.890331237588684,-8.038153321939214,10.0
92.44,-8.911833171740156,-8.12684420236178,9.999981105279122,-8.887452771226002,-8.045622442093235,10.0
92.45,-8.908944100520847,-8.13439018737744,9.999981104179502,-8.884570796237716,-8.053078857111219,10.0
92.46000000000001,-8.906051506004461,-8.14192330439565,9.999981103266526,-8.881685313761583,-8.060522555218473,10.0
92.47,-8.903155425798953,-8.14944367515809,9.999981102213773,-8.878796324936753,-8.06795352466037,10.0
92.48,-8.900255802736922,-8.156951074462055,9.99998110135245,-8.875903830903736,-8.075371753702425,10.0
92.49,-8.897352662071082,-8.164445578677636,9.99998110049961,-8.873007832804465,-8.082777230630201,10.0
92.5,-8.894445999790799,-8.17192715699395,9.999981099556816,-8.870108331782216,-8.090169943749473,10.0
