time,x_raw_ref,y_raw_ref,z_raw_ref,x_safe_ref,y_safe_ref,z_safe_ref,yaw_ref,raw_obstacle_distance_m,safe_obstacle_distance_m,altitude_filter_active,obstacle_filter_active,velocity_filter_active,safety_active,controller_mode
2.22,1.2045922894125,0.0,0.6278186625290625,1.1946973065735844,0.0,0.8000000000071705,0.0,3.11410246162262,3.1106964373160713,1,0,0,1,SAFETY_PROTECTION
2.24,1.2228493311999997,0.0,0.6191465676800001,1.2129961225807544,0.0,0.8000000000025097,0.0,3.096821117929053,3.092424351574931,1,0,0,1,SAFETY_PROTECTION
2.26,1.2410176734875003,0.0,0.6105166050934374,1.231210130670139,0.0,0.8000000000008785,0.0,3.079653377784213,3.07423721407547,1,0,0,1,SAFETY_PROTECTION
2.28,1.2590901683999998,0.0,0.6019321700100001,1.2493321551945484,0.0,0.8000000000003075,0.0,3.062605957390788,3.0561421899450734,1,0,0,1,SAFETY_PROTECTION
2.3,1.2770597265624999,0.0,0.5933966298828125,1.267355076583717,0.0,0.8000000000001076,0.0,3.0456854671633486,3.0381463878769432,1,0,0,1,SAFETY_PROTECTION
2.32,1.2949193215999997,0.0,0.5849133222400001,1.2852718358443007,0.0,0.8000000000000377,0.0,3.028898406931068,3.0202568556306084,1,0,0,1,SAFETY_PROTECTION
2.34,1.3126619946374998,0.0,0.5764855525471876,1.3030754390598802,0.0,0.8000000000000131,0.0,3.0122511612455,3.0024805755332356,1,0,0,1,SAFETY_PROTECTION
2.36,1.3302808588000004,0.0,0.5681165920699999,1.3207589618909583,0.0,0.8000000000000046,0.0,2.995749994798706,2.9848244599818115,1,0,0,1,SAFETY_PROTECTION
2.38,1.3477691037124995,0.0,0.5598096757365627,1.33831555407496,0.0,0.8000000000000016,0.0,2.979401047956858,2.9672953469462495,1,0,0,1,SAFETY_PROTECTION
2.4,1.3651199999999992,0.0,0.5515680000000004,1.3557384439262354,0.0,0.8000000000000005,0.0,2.9632103324142975,2.9498999954734533,1,0,0,1,SAFETY_PROTECTION
2.42,1.3823269037874995,0.0,0.5433947207009378,1.373020942836057,0.0,0.8000000000000002,0.0,2.9471837269728525,2.9326450811924283,1,0,0,1,SAFETY_PROTECTION
2.44,1.3993832612000001,0.0,0.53529295093,1.39015644977262,0.0,0.8,0.0,2.9313269734509286,2.915537191820439,1,0,0,1,SAFETY_PROTECTION
2.46,1.416282612862499,0.0,0.5272657588903129,1.4071384557810414,0.0,0.8,0.0,2.9156456727266598,2.898582822670295,1,0,0,1,SAFETY_PROTECTION
2.48,1.4330185984000003,0.0,0.5193161657599998,1.4239605484833646,0.0,0.8,0.0,2.9001452809190607,2.881788372158778,1,0,0,1,SAFETY_PROTECTION
2.5,1.4495849609375,0.0,0.5114471435546875,1.4406164165785527,0.0,0.8,0.0,2.8848311057107994,2.865160137316285,1,0,0,1,SAFETY_PROTECTION
2.52,1.4659755515999997,0.0,0.5036616129900001,1.4570998543424931,0.0,0.8,0.0,2.8697083028157593,2.848704309297694,1,0,0,1,SAFETY_PROTECTION
2.54,1.4821843340125007,0.0,0.4959624413440622,1.473404766127998,0.0,0.8,0.0,2.8547818725941894,2.8324269688945054,1,0,0,1,SAFETY_PROTECTION
2.56,1.4982053888000018,0.0,0.48835244031999914,1.4895251708648005,0.0,0.8,0.0,2.8400566568177115,2.8163340820482956,1,0,0,1,SAFETY_PROTECTION
2.58,1.5140329180875,0.0,0.4808343639084375,1.5054552065595552,0.0,0.8,0.0,2.825537335585967,2.800431495365497,1,0,0,1,SAFETY_PROTECTION
2.6,1.5296612499999986,0.0,0.4734109062500006,1.5211891347958435,0.0,0.8,0.0,2.811228424396118,2.7847249316335385,1,0,0,1,SAFETY_PROTECTION
2.62,1.5450848431624993,0.0,0.46608469949781284,1.5367213452341697,0.0,0.8,0.0,2.797134271365843,2.769219985338365,1,0,0,1,SAFETY_PROTECTION
2.64,1.5602982912,0.0,0.4588583116799999,1.5520463601119592,0.0,0.8,0.0,2.783259054609839,2.7539221181833637,1,0,0,1,SAFETY_PROTECTION
2.66,1.575296327237501,0.0,0.451734244562187,1.5671588387435613,0.0,0.8,0.0,2.7696067797691537,2.738836654609681,1,0,0,1,SAFETY_PROTECTION
2.68,1.5900738284000002,0.0,0.44471493150999986,1.5820535820202468,0.0,0.8,0.0,2.7561812776920402,2.7239687773179635,1,0,0,1,SAFETY_PROTECTION
2.7,1.6046258203124997,0.0,0.43780273535156267,1.5967255369102111,0.0,0.8,0.0,2.742986202264265,2.7093235227914985,1,0,0,1,SAFETY_PROTECTION
2.72,1.6189474815999987,0.0,0.4309999462400006,1.611169800958573,0.0,0.8,0.0,2.7300250283861045,2.6949057768207685,1,0,0,1,SAFETY_PROTECTION
2.74,1.6330341483875004,0.0,0.42430877951593726,1.6253816267873757,0.0,0.8,0.0,2.717301050092472,2.680720270029387,1,0,0,1,SAFETY_PROTECTION
2.76,1.6468813188000013,0.0,0.41773137356999934,1.6393564265955822,0.0,0.8,0.0,2.7048173788118914,2.666771573401411,1,0,0,1,SAFETY_PROTECTION
2.78,1.6604846574625003,0.0,0.4112697877053123,1.6530897766590789,0.0,0.8,0.0,2.6925769417592056,2.653064093809987,1,0,0,1,SAFETY_PROTECTION
2.8,1.6738399999999993,0.0,0.40492600000000034,1.666577421830677,0.0,0.8,0.0,2.6805824804561773,2.6396020695473004,1,0,0,1,SAFETY_PROTECTION
2.82,1.6869433575375008,0.0,0.39870190516968707,1.6798152800401125,0.0,0.8,0.0,2.6688365493733324,2.626389565855794,1,0,0,1,SAFETY_PROTECTION
2.84,1.699790921199999,0.0,0.39259931243000046,1.6927994467940386,0.0,0.8,0.0,2.6573415146856276,2.613430470460599,1,0,0,1,SAFETY_PROTECTION
2.86,1.7123790666124998,0.0,0.3866199433590626,1.7055261996760382,0.0,0.8,0.0,2.6460995531337357,2.6007284891031004,1,0,0,1,SAFETY_PROTECTION
2.88,1.7247043584000008,0.0,0.3807654297599996,1.7179920028466138,0.0,0.8,0.0,2.635112650982075,2.5882871410756128,1,0,0,1,SAFETY_PROTECTION
2.9,1.7367635546874998,0.0,0.37503731152343756,1.7301935115431895,0.0,0.8,0.0,2.6243826030638977,2.5761097547570513,1,0,0,1,SAFETY_PROTECTION
2.92,1.7485536116000002,0.0,0.36943703448999987,1.7421275765801165,0.0,0.8,0.0,2.613911011903125,2.5641994631495293,1,0,0,1,SAFETY_PROTECTION
2.94,1.7600716877625002,0.0,0.36396594831281237,1.753791248848666,0.0,0.8,0.0,2.60369928690198,2.552559199415808,1,0,0,1,SAFETY_PROTECTION
2.96,1.7713151487999999,0.0,0.35862530432000006,1.765181783817033,0.0,0.8,0.0,2.593748643582801,2.5411916924174753,1,0,0,1,SAFETY_PROTECTION
2.98,1.7822815718375011,0.0,0.35341625337718696,1.7762966460303373,0.0,0.8,0.0,2.584060102871935,2.530099462253767,1,0,0,1,SAFETY_PROTECTION
3.0,1.79296875,0.0,0.34833984375000004,1.7871335136106181,0.0,0.8,0.0,2.5746344904130836,2.51928481580092,1,0,0,1,SAFETY_PROTECTION
3.02,1.8033746969125,0.0,0.3433970189665625,1.7976902827568413,0.0,0.8,0.0,2.5654724358970102,2.5087498422519183,1,0,0,1,SAFETY_PROTECTION
3.04,1.8134976512000014,0.0,0.3385886156799993,1.8079650722448954,0.0,0.8,0.0,2.556574372394227,2.498496408656546,1,0,0,1,SAFETY_PROTECTION
3.06,1.8233360809874997,0.0,0.3339153615309377,1.8179562279275883,0.0,0.8,0.0,2.5479405356769083,2.4885261554615883,1,0,0,1,SAFETY_PROTECTION
3.08,1.8328886883999997,0.0,0.3293778730100001,1.827662327234656,0.0,0.8,0.0,2.5395709635160766,2.478840492051053,1,0,0,1,SAFETY_PROTECTION
3.1,1.8421544140625006,0.0,0.3249766533203122,1.8370821836727549,0.0,0.8,0.0,2.5314654949400444,2.4694405922862983,1,0,0,1,SAFETY_PROTECTION
3.12,1.8511324415999981,0.0,0.3207120902400009,1.8462148513254628,0.0,0.8,0.0,2.5236237694399275,2.4603273900459026,1,0,0,1,SAFETY_PROTECTION
3.14,1.859822202137499,0.0,0.31658445398468793,1.8550596293532866,0.0,0.8,0.0,2.5160452261081665,2.4515015747651425,1,0,0,1,SAFETY_PROTECTION
3.16,1.8682233788000007,0.0,0.3125938950699997,1.8636160664936507,0.0,0.8,0.0,2.5087291026961354,2.442963586974956,1,0,0,1,SAFETY_PROTECTION
3.18,1.8763359112125007,0.0,0.30874044217406216,1.8718839655609032,0.0,0.8,0.0,2.501674434577048,2.434713613840219,1,0,0,1,SAFETY_PROTECTION
3.2,1.884160000000001,0.0,0.3050239999999995,1.8798633879463167,0.0,0.8,0.0,2.494880053600785,2.426751584697215,1,0,0,1,SAFETY_PROTECTION
3.22,1.8916961112875015,0.0,0.3014443471384368,1.8875546581180869,0.0,0.8,0.0,2.48834458682764,2.4190771665901547,1,0,0,1,SAFETY_PROTECTION
3.24,1.8989449811999988,0.0,0.2980011339300006,1.8949583681213296,0.0,0.8,0.0,2.4820664551284812,2.411689759806614,1,0,0,1,SAFETY_PROTECTION
3.26,1.9059076203624992,0.0,0.29469388032781285,1.9020753820780898,0.0,0.8,0.0,2.4760438716394133,2.40458849341174,1,0,0,1,SAFETY_PROTECTION
3.28,1.912585318399998,0.0,0.291521973760001,1.90890684068733,0.0,0.8,0.0,2.47027484005979,2.3977722207811336,1,0,0,1,SAFETY_PROTECTION
3.3,1.9189796484375004,0.0,0.28848466699218733,1.9154541657249409,0.0,0.8,0.0,2.464757152783076,2.3912395151322485,1,0,0,1,SAFETY_PROTECTION
3.32,1.925092471600001,0.0,0.2855810759899995,1.9217190645437299,0.0,0.8,0.0,2.4594883888510832,2.384988665054237,1,0,0,1,SAFETY_PROTECTION
3.34,1.9309259415124993,0.0,0.2828101777815628,1.9277035345734301,0.0,0.8,0.0,2.4544659117228913,2.3790176700360943,1,0,0,1,SAFETY_PROTECTION
3.36,1.9364825087999984,0.0,0.28017080832000074,1.9334098678206995,0.0,0.8,0.0,2.4496868668509286,2.373324235993041,1,0,0,1,SAFETY_PROTECTION
3.38,1.941764925587501,0.0,0.2776616603459371,1.9388406553691202,0.0,0.8,0.0,2.4451481790577145,2.3679057707910443,1,0,0,1,SAFETY_PROTECTION
3.4,1.946776250000001,0.0,0.2752812812499995,1.9439987918791928,0.0,0.8,0.0,2.440846549707943,2.362759379769419,1,0,0,1,SAFETY_PROTECTION
3.42,1.9515198506624998,0.0,0.27302807093531256,1.9488874800883424,0.0,0.8,0.0,2.4367784536718053,2.357881861261422,1,0,0,1,SAFETY_PROTECTION
3.44,1.9559994112000005,0.0,0.27090027967999974,1.9535102353109202,0.0,0.8,0.0,2.4329401360767817,2.353269702112814,1,0,0,1,SAFETY_PROTECTION
3.46,1.9602189347375,0.0,0.26889600599968744,1.9578708899381971,0.0,0.8,0.0,2.4293276088464135,2.348919073198357,1,0,0,1,SAFETY_PROTECTION
3.48,1.9641827484000007,0.0,0.2670131945099996,1.9619735979383695,0.0,0.8,0.0,2.4259366470259436,2.3448258249362066,1,0,0,1,SAFETY_PROTECTION
