experiment_id,scene_id,controller_id,priority,status,raw_file,metrics_file,duration_s,position_rmse_m,max_position_error_m,steady_state_error_m,settling_time_s,disturbance_peak_error_m,disturbance_recovery_time_s,overshoot_max_pct,control_energy,control_smoothness,saturation_ratio,constraint_violation_count,total_health_score,final_trackability_score,formation_score,baseline_experiment,rmse_improvement_pct,health_score_delta,quality_status,quality_pass,source,evidence_level,notes
robust_rotor1_loss15_example1_linear_mpc_sysblock,robust_rotor1_loss15_example1,linear_mpc_sysblock,P1,done,results/robustness/rotor1_loss15_example1/robust_rotor1_loss15_example1_linear_mpc_sysblock/raw/robust_rotor1_loss15_example1_linear_mpc_sysblock.csv,results/robustness/rotor1_loss15_example1/robust_rotor1_loss15_example1_linear_mpc_sysblock/metrics/robust_rotor1_loss15_example1_linear_mpc_sysblock.json,50,0.314041,1.25078,0.207516,,0.206638,5.48,5.57567,41597.2,14104.2,,62,36.8885,,,robust_rotor1_loss15_example1_l1_residual_sysblock,1.81739,0.0851436,needs_iteration,False,MWORKS_MCP,real_sysplorer_mcp_sysblock_linear_mpc_rotor_loss_ablation,
robust_rotor1_loss15_example1_pid_baseline,robust_rotor1_loss15_example1,pid_baseline,P1,done,results/raw/robust_rotor1_loss15_example1_pid_baseline.csv,results/robustness/rotor1_loss15_example1/robust_rotor1_loss15_example1_pid_baseline/metrics/robust_rotor1_loss15_example1_pid_baseline.json,50,0.39212,1.40197,0.286884,,0.282842,,6.88383,41606.9,108378,,67,35.6258,,,,,,needs_iteration,False,MWORKS_MCP,real_sysplorer_mcp_robust_rotor_loss_ablation,
robust_rotor2_loss15_example1_awff_sysblock,robust_rotor2_loss15_example1,awff_sysblock,P1,done,results/robustness/rotor2_loss15_example1/robust_rotor2_loss15_example1_awff_sysblock/raw/robust_rotor2_loss15_example1_awff_sysblock.csv,results/robustness/rotor2_loss15_example1/robust_rotor2_loss15_example1_awff_sysblock/metrics/robust_rotor2_loss15_example1_awff_sysblock.json,50,0.369011,1.32931,0.31,,0.261847,,6.63706,41578,13296.9,,65,35.8532,,,,,,needs_iteration,False,MWORKS_MCP,real_sysplorer_mcp_sysblock_robust_rotor_loss_ablation,
robust_rotor2_loss15_example1_pid_baseline,robust_rotor2_loss15_example1,pid_baseline,P1,done,results/robustness/rotor2_loss15_example1/robust_rotor2_loss15_example1_pid_baseline/raw/robust_rotor2_loss15_example1_pid_baseline.csv,results/robustness/rotor2_loss15_example1/robust_rotor2_loss15_example1_pid_baseline/metrics/robust_rotor2_loss15_example1_pid_baseline.json,50,0.391914,1.40197,0.340718,,0.282842,,6.93401,41606.8,112452,,67,35.3967,,,,,,needs_iteration,False,MWORKS_MCP,real_sysplorer_mcp_robust_rotor_loss_ablation,
robust_rotor3_loss15_example1_awff_sysblock,robust_rotor3_loss15_example1,awff_sysblock,P1,done,results/robustness/rotor3_loss15_example1/robust_rotor3_loss15_example1_awff_sysblock/raw/robust_rotor3_loss15_example1_awff_sysblock.csv,results/robustness/rotor3_loss15_example1/robust_rotor3_loss15_example1_awff_sysblock/metrics/robust_rotor3_loss15_example1_awff_sysblock.json,50,0.369087,1.32931,0.309938,,0.261847,,6.6352,41578,13254,,65,35.8529,,,,,,needs_iteration,False,MWORKS_MCP,real_sysplorer_mcp_sysblock_robust_rotor_loss_ablation,
robust_rotor3_loss15_example1_pid_baseline,robust_rotor3_loss15_example1,pid_baseline,P1,done,results/robustness/rotor3_loss15_example1/robust_rotor3_loss15_example1_pid_baseline/raw/robust_rotor3_loss15_example1_pid_baseline.csv,results/robustness/rotor3_loss15_example1/robust_rotor3_loss15_example1_pid_baseline/metrics/robust_rotor3_loss15_example1_pid_baseline.json,50,0.392261,1.40197,0.340775,,0.282842,,6.9351,41607.1,109380,,67,35.3937,,,,,,needs_iteration,False,MWORKS_MCP,real_sysplorer_mcp_robust_rotor_loss_ablation,
robust_rotor4_loss15_example1_awff_sysblock,robust_rotor4_loss15_example1,awff_sysblock,P1,done,results/robustness/rotor4_loss15_example1/robust_rotor4_loss15_example1_awff_sysblock/raw/robust_rotor4_loss15_example1_awff_sysblock.csv,results/robustness/rotor4_loss15_example1/robust_rotor4_loss15_example1_awff_sysblock/metrics/robust_rotor4_loss15_example1_awff_sysblock.json,50,0.369157,1.32931,0.265149,,0.261832,,3.08133,41578.1,13296.9,,65,36.0443,,,,,,needs_iteration,False,MWORKS_MCP,real_sysplorer_mcp_sysblock_robust_rotor_loss_ablation,
robust_rotor4_loss15_example1_pid_baseline,robust_rotor4_loss15_example1,pid_baseline,P1,done,results/robustness/rotor4_loss15_example1/robust_rotor4_loss15_example1_pid_baseline/raw/robust_rotor4_loss15_example1_pid_baseline.csv,results/robustness/rotor4_loss15_example1/robust_rotor4_loss15_example1_pid_baseline/metrics/robust_rotor4_loss15_example1_pid_baseline.json,50,0.391966,1.40197,0.287084,,0.282842,,3.022,41606.8,112452,,67,35.6262,,,,,,needs_iteration,False,MWORKS_MCP,real_sysplorer_mcp_robust_rotor_loss_ablation,
robust_wind_gust_example1_awff_pid,robust_wind_gust_example1,awff_pid,P1,done,results/robustness/wind_gust_example1/robust_wind_gust_example1_awff_pid/raw/robust_wind_gust_example1_awff_pid.csv,results/robustness/wind_gust_example1/robust_wind_gust_example1_awff_pid/metrics/robust_wind_gust_example1_awff_pid.json,50,0.313084,1.24136,0.103196,7.438,0.697626,3.242,4.85952,39951.8,14563.3,,302,51.9037,,,robust_wind_gust_example1_pid_baseline,6.45994,-0.0862225,pass,True,MWORKS_MCP,real_sysplorer_mcp_robust_wind_gust_awff,
robust_wind_gust_example1_awff_sysblock,robust_wind_gust_example1,awff_sysblock,P1,done,results/raw/robust_wind_gust_example1_awff_sysblock.csv,results/robustness/wind_gust_example1/robust_wind_gust_example1_awff_sysblock/metrics/robust_wind_gust_example1_awff_sysblock.json,50,0.318224,1.29717,0.103106,5.75,0.696413,3.25,4.85867,39941.7,13469.6,,64,55.0017,,,robust_wind_gust_example1_pid_baseline,4.92433,3.01178,pass,True,MWORKS_MCP,real_sysplorer_mcp_sysblock_robust_wind_gust_ablation,
