t,mode_id,mode,minimum_pair_distance_input_m,formation_rmse_input_m,active_agents,failed_mask,safety_corrections,status_code
20.224,4,containment,1.5176424185854005,0.05213227543557744,3.0,0.0,0.0,1.0
20.244,4,containment,1.5175120959058517,0.0507914580799711,3.0,0.0,0.0,1.0
20.264,4,containment,1.5155980226020789,0.049097242020867904,3.0,0.0,0.0,1.0
20.284,4,containment,1.5157412630091802,0.047890374475211425,3.0,0.0,0.0,1.0
20.304,4,containment,1.5142321551792437,0.046412562999489086,3.0,0.0,0.0,1.0
20.324,4,containment,1.5145320678252345,0.045347157198490244,3.0,0.0,0.0,1.0
20.344,4,containment,1.513256143782788,0.044070364379531914,3.0,0.0,0.0,1.0
20.364,4,containment,1.513644020757717,0.04314953469854555,3.0,0.0,0.0,1.0
20.385,4,containment,1.5126170281099807,0.042067547062156596,3.0,0.0,0.0,1.0
20.404,4,containment,1.5131293584086123,0.04126129946004673,3.0,0.0,0.0,1.0
20.424,4,containment,1.5123081520299304,0.04032879694726555,3.0,0.0,0.0,1.0
20.444,4,containment,1.512816194200543,0.03963114438930624,3.0,0.0,0.0,1.0
20.464,4,containment,1.512062698456306,0.03882646669961038,3.0,0.0,0.0,1.0
20.484,4,containment,1.5125128571916295,0.03822059885955828,3.0,0.0,0.0,1.0
20.504,4,containment,1.511844905702125,0.037513145467534474,3.0,0.0,0.0,1.0
20.524,4,containment,1.512263093461086,0.036973308084764386,3.0,0.0,0.0,1.0
20.544,4,containment,1.5115898116797404,0.03634231319091372,3.0,0.0,0.0,1.0
20.564,4,containment,1.5118900054736384,0.035854178693024784,3.0,0.0,0.0,1.0
20.584,4,containment,1.5111800136473401,0.035265961091374594,3.0,0.0,0.0,1.0
20.604,4,containment,1.5113476022918104,0.03481438010746755,3.0,0.0,0.0,1.0
20.624,4,containment,1.5105549001876195,0.03424148491560325,3.0,0.0,0.0,1.0
20.644,4,containment,1.510596894294888,0.03379442098714269,3.0,0.0,0.0,1.0
20.664,4,containment,1.5097469507642869,0.033204937118621984,3.0,0.0,0.0,1.0
20.684,4,containment,1.509736244724533,0.03274705891527825,3.0,0.0,0.0,1.0
20.704,4,containment,1.508916825882462,0.03215345924772761,3.0,0.0,0.0,1.0
20.724,4,containment,1.508864876302494,0.03170290290003905,3.0,0.0,0.0,1.0
20.744,4,containment,1.5080015228001895,0.031104442538776207,3.0,0.0,0.0,1.0
20.764,4,containment,1.507825161370754,0.030655949180662966,3.0,0.0,0.0,1.0
20.784,4,containment,1.5069060122395623,0.030053821533476768,3.0,0.0,0.0,1.0
20.804,4,containment,1.5067117107333081,0.029597390663320823,3.0,0.0,0.0,1.0
20.824,4,containment,1.5058320058370651,0.028988748737742268,3.0,0.0,0.0,1.0
20.844,4,containment,1.5056826036639244,0.028539139274024787,3.0,0.0,0.0,1.0
20.864,4,containment,1.504920615458312,0.027965917527115462,3.0,0.0,0.0,1.0
20.884,4,containment,1.5048555342222272,0.027538589835190856,3.0,0.0,0.0,1.0
20.904,4,containment,1.5041353248579978,0.0270052775673145,3.0,0.0,0.0,1.0
20.924,4,containment,1.5040348478067993,0.026607868400541097,3.0,0.0,0.0,1.0
20.944,4,containment,1.503343039271531,0.02610839248917473,3.0,0.0,0.0,1.0
20.964,4,containment,1.5032935654282436,0.02574242597897159,3.0,0.0,0.0,1.0
20.984,4,containment,1.5027059707787955,0.025277534802849597,3.0,0.0,0.0,1.0
21.004,4,containment,1.5027303208238987,0.024912802577125054,3.0,0.0,0.0,1.0
21.024,4,containment,1.5021690801838543,0.02448232214370091,3.0,0.0,0.0,1.0
21.044,4,containment,1.5022726216305904,0.02413291078504237,3.0,0.0,0.0,1.0
21.064,4,containment,1.501851546295916,0.023738287249229037,3.0,0.0,0.0,1.0
21.084,4,containment,1.5020219881945986,0.023417519957506905,3.0,0.0,0.0,1.0
21.104,4,containment,1.501644920586275,0.02305466661501437,3.0,0.0,0.0,1.0
21.124,4,containment,1.5018451925993304,0.022749254127643472,3.0,0.0,0.0,1.0
21.144,4,containment,1.5015168948222264,0.02241924275156897,3.0,0.0,0.0,1.0
21.164,4,containment,1.501754666574413,0.022145004423918438,3.0,0.0,0.0,1.0
21.184,4,containment,1.5014778395836335,0.021848476251998112,3.0,0.0,0.0,1.0
21.204,4,containment,1.5017140924849475,0.02160278721756511,3.0,0.0,0.0,1.0
21.224,4,containment,1.5014662166843242,0.021332909057890953,3.0,0.0,0.0,1.0
21.244,4,containment,1.5016751783826903,0.021096988016920726,3.0,0.0,0.0,1.0
21.265,4,containment,1.5013872188888961,0.020840859341987848,3.0,0.0,0.0,1.0
21.284,4,containment,1.5015523142942224,0.020614192342669015,3.0,0.0,0.0,1.0
21.304,4,containment,1.5012829238556407,0.020373119253211388,3.0,0.0,0.0,1.0
21.324,4,containment,1.5014894313058573,0.020172146518400737,3.0,0.0,0.0,1.0
21.344,4,containment,1.5012286877211785,0.019959365827248648,3.0,0.0,0.0,1.0
21.364,4,containment,1.5013657178842752,0.01977630526238427,3.0,0.0,0.0,1.0
21.384,4,containment,1.501062415231023,0.019578759061079223,3.0,0.0,0.0,1.0
21.404,4,containment,1.5011859427112502,0.01941526318235667,3.0,0.0,0.0,1.0
21.424,4,containment,1.50089902734635,0.019254316672656785,3.0,0.0,0.0,1.0
21.444,4,containment,1.5010013968335507,0.01913266361626728,3.0,0.0,0.0,1.0
21.464,4,containment,1.500710443780071,0.019002046412704077,3.0,0.0,0.0,1.0
21.484,4,containment,1.500805112637929,0.018904202497436722,3.0,0.0,0.0,1.0
21.504,4,containment,1.500527629096088,0.018789142639520525,3.0,0.0,0.0,1.0
21.524,4,containment,1.500623717365719,0.018703131969753282,3.0,0.0,0.0,1.0
21.544,4,containment,1.500359216049221,0.018597266934082403,3.0,0.0,0.0,1.0
21.564,4,containment,1.500409783269018,0.018528181745198415,3.0,0.0,0.0,1.0
21.584,4,containment,1.500187562978975,0.018441464390197563,3.0,0.0,0.0,1.0
21.604,4,containment,1.500326155149191,0.018376849300206784,3.0,0.0,0.0,1.0
21.624,4,containment,1.5001553320210839,0.018302306029413764,3.0,0.0,0.0,1.0
21.644,4,containment,1.5002311838073719,0.018239504274788553,3.0,0.0,0.0,1.0
21.664,4,containment,1.5000567039467776,0.018183189361188068,3.0,0.0,0.0,1.0
21.685,4,containment,1.5001570940110693,0.018133348138678555,3.0,0.0,0.0,1.0
21.704,4,containment,1.5000848180936253,0.018096631715303527,3.0,0.0,0.0,1.0
21.724,4,containment,1.5002431344434912,0.01805294762566863,3.0,0.0,0.0,1.0
21.744,4,containment,1.500202572995067,0.01802924477451586,3.0,0.0,0.0,1.0
21.765,4,containment,1.5003054017115833,0.01799688739460084,3.0,0.0,0.0,1.0
