time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,geofence_breach_active,flight_mode,active_setpoint_source,safety_status,event_code,system_supervisor_keepalive
0.13,0.01800251415405882,0.03009227779339977,-1.3237163887588956e-05,0.0,0.0,0.26,-0.02312499216801402,2.0269527786309247,-1.4465519240143971,87.54987288787997,-120.69501625657801,52.78123255867449,-85.0632803490354,0.0,3.0,30.0,0.0,30.0,0.031
0.14,0.021812364232308007,0.03550362642241569,-1.441492008503706e-05,0.0,0.0,0.28,1.4643019942865934,-2.748809674893248,-1.3398948377325908,105.50660695772038,-105.50660695772038,35.106230720972285,-105.50660695772038,0.0,3.0,30.0,0.0,30.0,0.031
0.15,0.026185968957180398,0.041190202748229585,-2.075192639156563e-05,0.0,0.0,0.3,0.17519937794422086,0.18139418349481723,2.976962758169212,60.45014944791812,-85.40682419553754,110.7378233605128,-100.25305780175843,0.0,3.0,30.0,0.0,30.0,0.031
0.16,0.03095431315032165,0.047443000560667976,-2.6023071306414144e-05,0.0,0.0,0.32,0.03611569198227889,2.1130168857463687,-2.154824393215136,109.36577854334246,-106.73154938906765,76.05084879701083,-69.64610289865118,0.0,3.0,30.0,0.0,30.0,0.031
0.17,0.035912848994202565,0.054214265465170546,-2.7600050881321285e-05,0.0,0.0,0.34,1.548568237843257,-2.6962702619782646,-1.9504320570937244,119.81913090722375,-98.63073670792409,49.41875467047566,-98.63073670792409,0.0,3.0,30.0,0.0,30.0,0.031
0.18,0.04140935877126598,0.061274727900459666,-3.355637334884959e-05,0.0,0.0,0.36,0.24858402387238188,0.24159918400196098,2.3259167654345148,68.18339735596211,-82.1132918690698,121.80711471547681,-98.88995074630319,0.0,3.0,30.0,0.0,30.0,0.031
0.19,0.047282123059718545,0.06889013726986042,-3.833004004288479e-05,0.0,0.0,0.38,0.1297190861249662,2.206632063912234,-2.8519740401769584,111.80469348380177,-111.04780124435582,81.55795753629874,-70.89416095511076,0.0,3.0,30.0,0.0,30.0,0.031
0.2,0.05338141553874469,0.07700286904478404,-4.0217785619849724e-05,0.0,0.0,0.4,-1.451876527572518,-0.4927178597383238,0.639754449420325,116.05353392057596,-97.16415404352793,57.36327809400102,-108.87427445370109,0.0,3.0,30.0,0.0,30.0,0.031
0.21,0.06001634175772141,0.0854834838959394,-4.548801705606084e-05,0.0,0.0,0.42000000000000004,0.30163610386795575,0.36341646960740703,1.6860980580217173,67.60452400779366,-89.42518407903219,122.74076772855551,-103.696318860491,0.0,3.0,30.0,0.0,30.0,0.031
0.22,0.06707281390420756,0.09453386276103404,-4.9375550377725525e-05,0.0,0.0,0.44000000000000006,0.2749032413940495,2.2400256178145503,2.6673637132011785,115.65108673869554,-113.22803316485728,85.17154984708758,-73.30719381971716,0.0,3.0,30.0,0.0,30.0,0.031
0.23,0.07452801505229346,0.10412586725549292,-5.220662667326008e-05,0.0,0.0,0.4600000000000001,-1.3982089487077993,-0.4819684688624147,-0.012543394808805224,130.15917037669055,-84.92181940532086,75.45027399041388,-86.85292264372654,0.0,3.0,30.0,0.0,30.0,0.031
0.24,0.08249775316158732,0.11417937888154463,-5.644655546391852e-05,0.0,0.0,0.48,0.3647435479847035,0.38443701071098907,0.9873394998628567,86.69648144398693,-83.41281061274168,130.15917037669055,-91.808410996068,0.0,3.0,30.0,0.0,30.0,0.031
0.25,0.09092262347891303,0.12476456439616636,-6.02580240888171e-05,0.0,0.0,0.5,0.29690378311530047,2.353712062004334,2.006412901775872,125.94884294898338,-108.481902488772,98.72321444788824,-65.30715475311901,0.0,3.0,30.0,0.0,30.0,0.031
0.26,0.0997567139020765,0.1358307936496587,-6.30480596879333e-05,0.0,0.0,0.52,-1.234124230016313,-0.5231260948999853,-0.5582842181747205,130.15917037669055,-80.32911133892601,93.42832940459134,-90.45283090469444,0.0,3.0,30.0,0.0,30.0,0.031
0.27,0.10911548648958834,0.1473469646260796,-6.688418569795466e-05,0.0,0.0,0.54,0.4146642086174117,0.5174662271129952,0.33020553171140016,88.67538335493103,-87.5281220232955,130.15917037669055,-93.010042445609,0.0,3.0,30.0,0.0,30.0,0.031
0.28,0.1189669408279095,0.15939846844893835,-7.028987604625147e-05,0.0,0.0,0.56,0.4072828117421291,2.3854979039861086,1.267144863180195,128.29477314209444,-111.38686902870185,99.89638933481572,-69.38487659923246,0.0,3.0,30.0,0.0,30.0,0.031
0.29,0.12929269563648735,0.17196774202065546,-7.31046128675851e-05,0.0,0.0,0.58,-1.1870294446772702,-0.526108863029712,-1.2155561732693008,130.15917037669055,-91.40695140761827,89.85212644115951,-91.59038373712448,0.0,3.0,30.0,0.0,30.0,0.031
0.3,0.14013899830268892,0.18498380658439456,-7.731192470032577e-05,0.0,0.0,0.6,0.5129729312186517,0.5488711049568155,-0.38415627932355273,91.22663926754042,-96.04175392515532,128.66582431857924,-99.81748970923158,0.0,3.0,30.0,0.0,30.0,0.031
0.31,0.15142056297472506,0.1985308237977354,-8.068149520445902e-05,0.0,0.0,0.62,0.4536331253345616,2.514450520178432,0.6084028177309698,124.6266563709614,-120.12505243239363,96.68666017350654,-77.66467239310042,0.0,3.0,30.0,0.0,30.0,0.031
0.32,0.16313766764206222,0.21254867645356554,-8.373433253869509e-05,0.0,0.0,0.64,-1.018312278857696,-0.5105905470230792,-1.7541592497677625,120.57165392769866,-104.9027989820006,98.69827194185945,-98.26011866105202,0.0,3.0,30.0,0.0,30.0,0.031
0.33,0.17537559912979125,0.2270593646491844,-8.72029455456337e-05,0.0,0.0,0.66,0.5302661085619247,0.6669453454536441,-1.0427615295043127,86.955640883115,-110.69511920956015,122.370543331829,-105.72459570449571,0.0,3.0,30.0,0.0,30.0,0.031
0.34,0.18811271612139527,0.24210611591579856,-9.0695820231484e-05,0.0,0.0,0.68,0.5157775828715034,2.537348731486333,-0.10300145946567536,118.80279590209301,-130.15917037669055,91.20896052731389,-88.11400785685878,0.0,3.0,30.0,0.0,30.0,0.031
0.35000000000000003,0.20132633597891622,0.25767096702962805,-9.358760039723072e-05,0.0,0.0,0.7000000000000001,-0.9611701373337255,-0.5344306750951786,-2.4021962211734857,114.00914548322915,-118.61368807670297,92.92807997841669,-106.78678315084406,1.0,6.0,30.0,0.0,64.0,0.031
0.36,0.21507240346404188,0.2736777727436076,-9.831925031890999e-05,0.0,0.0,0.72,0.6675493993428716,0.7181966388299849,-1.7801135254369034,85.67231256828417,-120.45539261144535,111.05791621669371,-118.43774534716752,1.0,6.0,30.0,0.0,64.0,0.031
0.37,0.2292314317762279,0.29022447141617386,-0.0001014175530323763,0.0,0.0,0.74,0.5904348078816504,2.668334854974118,-0.7610821871921057,113.21655934795893,-130.15917037669055,84.6784133233306,-99.57447812656503,1.0,6.0,30.0,0.0,64.0,0.031
0.38,0.24385689845355876,0.30725437922595983,-0.00010475896999066775,0.0,0.0,0.76,-0.8205986610983145,-0.47239158287451716,-2.9626952357692145,104.29906915744385,-129.28568219517965,101.16204864013326,-107.4416507443224,1.0,6.0,30.0,0.0,64.0,0.031
0.39,0.25901089474313316,0.32479159026849586,-0.00010833522508395745,0.0,0.0,0.78,0.6699290927437128,0.8114056121803171,-2.4446760069361457,85.31755721140073,-130.15917037669055,106.87800020049062,-118.96326558606401,1.0,6.0,30.0,0.0,64.0,0.031
0.4,0.2746523188869587,0.3428674058181237,-0.00011171043749756491,0.0,0.0,0.8,0.6173039376938445,2.6960911764562363,-1.4533572089498694,108.68407466709193,-130.15917037669055,82.19695764260538,-106.9830404947547,1.0,6.0,30.0,0.0,64.0,0.031
0.41000000000000003,0.2907583547476705,0.36143795383709887,-0.00011468130522165441,0.0,0.0,0.8200000000000001,-0.7362071553327574,-0.5011394738407386,2.69424995988763,99.25940496755138,-130.15917037669055,104.08774363372339,-114.22038823923236,1.0,6.0,30.0,0.0,64.0,0.031
0.42,0.3074060163880105,0.38044308289055073,-0.00011941056950375334,0.0,0.0,0.8400000000000001,0.8461254220184272,0.8838856743064439,3.070037384611161,99.64881622192037,-126.60629326598786,110.73935273859918,-118.35940308518911,1.0,6.0,30.0,0.0,64.0,0.031
0.43,0.324488618282696,0.39997939424184403,-0.0001223845529213878,0.0,0.0,0.86,0.7151613863499247,2.8144418471931076,-2.108667849180696,120.69911020539362,-130.15917037669055,89.85544492775556,-104.27560487456105,1.0,6.0,30.0,0.0,64.0,0.031
0.44,0.3420719745588177,0.42000422169387525,-0.0001257195756719927,0.0,0.0,0.8800000000000001,-0.6405165818365002,-0.4139008395765547,2.096267506389917,100.61790781981661,-130.15917037669055,115.56835452485913,-107.38047033173018,1.0,6.0,30.0,0.0,64.0,0.031
0.45,0.3601866243808449,0.44054447269243985,-0.00012911762131416387,0.0,0.0,0.9,0.8541784803734865,0.9502114379988975,2.3891045351493014,117.13178208672144,-123.6951456512844,123.6262016105166,-100.85598917279165,1.0,6.0,30.0,0.0,64.0,0.031
