time_s,position_x_m,position_y_m,position_z_m,position_ref_x_m,position_ref_y_m,position_ref_z_m,position_error_norm_m
38.910000000000004,9.839136034042996,8.926572674532265,15.488850161560732,10.0,8.910000000000004,15.0,0.5149042139490824
38.92,9.840367858507996,8.935187663107122,15.488740071160283,10.0,8.920000000000002,15.0,0.5143733496845818
38.93,9.841601393749094,8.943800598693244,15.488628605364726,10.0,8.93,15.0,0.5138467563069735
38.94,9.842836583196032,8.952411551415977,15.48851783407038,10.0,8.939999999999998,15.0,0.5133264657066351
38.95,9.84407336372627,8.961020587174255,15.48840570014338,10.0,8.950000000000003,15.0,0.5128105860586836
38.96,9.845311678935818,8.969627775896754,15.488294272882545,10.0,8.96,15.0,0.5123011493958085
38.97,9.846551466228306,8.978233182887024,15.48818149621118,10.0,8.969999999999999,15.0,0.511796259326033
38.980000000000004,9.847792669373089,8.986836877929514,15.488069438768745,10.0,8.980000000000004,15.0,0.5112979478312336
38.99,9.849035226408239,8.995438925625553,15.487956044498496,10.0,8.990000000000002,15.0,0.5108043129616178
39.0,9.850279081233701,9.004039395626405,15.487843381896376,10.0,9.0,15.0,0.5103173870184557
39.01,9.851524172526371,9.012638351822352,15.487729394942285,10.0,9.009999999999998,15.0,0.509835262545741
39.02,9.852770444324833,9.021235863719365,15.487616151990421,10.0,9.020000000000003,15.0,0.509359972029002
39.03,9.854017835949367,9.029831994488708,15.487501597061955,10.0,9.030000000000001,15.0,0.5088896025511965
39.04,9.855266291585393,9.0384268134798,15.487387798368635,10.0,9.04,15.0,0.508426186644529
39.050000000000004,9.856515751201151,9.047020383137827,15.487272699975625,10.0,9.050000000000004,15.0,0.507967805979425
39.06,9.857766159137093,9.055612772645022,15.487158369950112,10.0,9.060000000000002,15.0,0.5075164929959711
39.07,9.8590174560139,9.064204043713959,15.487042752403712,10.0,9.07,15.0,0.5070703240055026
39.08,9.86026958633521,9.072794265349568,15.486927915256402,10.0,9.079999999999998,15.0,0.5066313312170215
39.09,9.86152249137853,9.081383498525872,15.486811802668681,10.0,9.090000000000003,15.0,0.5061975856414115
39.1,9.862776115818766,9.089971812060654,15.486696482410462,10.0,9.100000000000001,15.0,0.5057711191179748
39.11,9.864030401594468,9.098559266183718,15.486579898693616,10.0,9.11,15.0,0.5053499974211009
