time_s,uav1_tracking_error_m,uav2_tracking_error_m,uav3_tracking_error_m,minimum_pair_distance_m,formation_distance_error_m,clearance_lower_bound_m,uav1_x_m,uav1_y_m,uav1_z_m,uav2_x_m,uav2_y_m,uav2_z_m,uav3_x_m,uav3_y_m,uav3_z_m,uav1_ref_x_m,uav1_ref_y_m,uav1_ref_z_m,uav2_ref_x_m,uav2_ref_y_m,uav2_ref_z_m,uav3_ref_x_m,uav3_ref_y_m,uav3_ref_z_m
139.0,0.030632911726225866,0.006206914988121709,0.15836414204790372,3.1081111500826872,0.12035040890136169,0.2875034799970963,10.641663732196896,6.97935224102896,2.161208772778063,-3.697807021432797,-6.698530464227715,2.4398177901089335,-4.078423939649769,-9.782422396420436,2.368429882225435,10.662896628361308,7.001425278497844,2.1606427178378684,-3.697229295679298,-6.704707032113033,2.4400228164037565,-4.132382019913878,-9.931302409537844,2.3700011094340274
140.0,0.001168653893196122,0.03317382024828795,0.03355063712359457,3.2203517901916894,0.018815409705773185,0.41231698492140545,11.313355201380107,7.647730229899793,2.1990033831673363,-3.688614318920046,-6.713368670020904,2.4400970016819703,-4.126104615555727,-9.903088111473213,2.3696855128352685,11.313360762361249,7.648810552936229,2.1985577116128083,-3.6761004221409066,-6.6826457994590704,2.440196810036339,-4.124046612305999,-9.869642071941952,2.3713505394706487
141.0,0.02906280506989287,0.03206043449263378,0.1560219421574144,3.1218406056640795,0.11656504346153736,0.2898456798875856,11.957546337609553,8.288886573868805,2.2351392683653812,-3.639823572144609,-6.650466593114279,2.4406444625221324,-4.111970454259112,-9.735730475965338,2.3765128629987635,11.936424674696227,8.26892529992345,2.234875570081501,-3.62066276446405,-6.624761830321878,2.4406533322178725,-4.085166763161215,-9.582032306862391,2.3776448490861344
142.0,0.0558043877654395,0.032347611429671574,0.14199165117489865,2.6844129298016526,0.12537224304724282,0.3038759708701014,12.530887056517003,8.859549942658086,2.2672471185748355,-3.5425059628986872,-6.541518588892459,2.4415029764338163,-4.031866272921748,-9.180440824757081,2.3896503225027907,12.490825291320128,8.820701757043079,2.2671911042199593,-3.5193274208211696,-6.518954836488875,2.44148781610635,-4.011874962274089,-9.039863597387525,2.3895101545646162
143.0,0.07647676477518961,0.037197698909413913,0.061188455233262655,2.0850841060065735,0.08882147976545177,0.37015962474881037,12.997468459778968,9.323933459150922,2.2933902374426456,-3.390420299449252,-6.383953271834703,2.4427769899160316,-3.923646484476374,-8.399361567061936,2.4056964255741606,12.942758899872688,9.270496215965169,2.2935339247680915,-3.3644892162088795,-6.357284047486949,2.4427628893673146,-3.917067319235209,-8.338533614325646,2.4048586878621343
144.0,0.08802448590743159,0.04045739879950239,0.029212918942693705,1.576420795186746,0.08639560589989603,0.35861190361656836,13.333373809920824,9.658250178573395,2.312328266313246,-3.1794360970290567,-6.165438933617428,2.444528339596745,-3.817123011378527,-7.606931100597147,2.4209009127208154,13.270480057776808,9.596666162406896,2.3126365086191663,-3.152146508043259,-6.1355712392436486,2.44451150502726,-3.822058636930367,-7.6357164635579515,2.4202397676692886
145.0,0.08738102753397511,0.04026701002703367,0.10326737498822472,1.378977051597984,0.08815473450905076,0.3426002470567753,13.531336202941148,9.855278823710757,2.323780346048519,-2.908650309238729,-5.882759964973414,2.446765734252463,-3.7340342209115556,-6.987346052913548,2.4323199212035633,13.468900500335884,9.794147416093214,2.324202265209289,-2.8815209917551408,-5.853003762748374,2.446740072327028,-3.7482374850397226,-7.089631933391516,2.4321907704738837
146.0,0.07149393808009383,0.03784045834027669,0.13833878327210183,1.5770536795030292,0.09899244885595593,0.30752883877289816,13.605360923028453,9.928956057077677,2.328687973957654,-2.5803162145711718,-5.53956841577137,2.449464823986167,-3.6898175990254036,-6.660273882013822,2.4383183508903916,13.554188048831126,9.879031270717508,2.329173602906868,-2.5546775063853984,-5.511737572713569,2.449431587575212,-3.708721273536975,-6.7973147419122775,2.4385881016235778
147.0,0.03732379650054069,0.03405879478803544,0.10555728921202218,2.102230679190245,0.0787372059342591,0.34031033283297785,13.595314864955764,9.918958797583977,2.3294779066621545,-2.199206231026675,-5.141562703369983,2.4525858394109754,-3.685368303146874,-6.628347592065145,2.439670009287086,13.568365518618814,9.893141633902184,2.329999995402084,-2.1761438401802407,-5.1165002562359145,2.452548765001557,-3.7000113261885303,-6.732883784338007,2.4399981663885293
148.0,0.019493610737684932,0.029083732557244592,0.007481501803359576,2.793375090457178,0.02200958730345833,0.4192376099527554,13.572279633485815,9.895856351094704,2.3289425387704177,-1.7721183187628853,-4.695692452938621,2.4560750744226434,-3.6967943843394453,-6.720118466150491,2.4397730618329607,13.585848994177478,9.909850492680528,2.3291357000704367,-1.7525305361864953,-4.674194061457513,2.4560371676103565,-3.6950934420352217,-6.7274011021651,2.4399801299137827
