t,phase,uav_a,uav_b,distance_m
10.017,takeoff,2,3,1.4660079897023415
10.051,takeoff,2,3,1.466007989669025
10.085,takeoff,2,3,1.4660079896357088
10.119,takeoff,2,3,1.4660079896023923
10.153,takeoff,2,3,1.4660079895690759
10.187,takeoff,2,3,1.4660079895357598
10.221,takeoff,2,3,1.4660079895024434
10.255,takeoff,2,3,1.4660079894691271
10.289,takeoff,2,3,1.4660079894358107
10.323,takeoff,2,3,1.4660079894024947
10.357,takeoff,2,3,1.4660079893691782
10.391,takeoff,2,3,1.466007989335862
10.426,takeoff,2,3,1.4660079893015658
10.46,takeoff,2,3,1.4660079892682496
10.494,takeoff,2,3,1.4660079892349331
10.528,takeoff,2,3,1.4660079892016167
10.562,takeoff,2,3,1.4660079891683007
10.596,takeoff,2,3,1.4660079891349844
10.63,takeoff,2,3,1.466007989101668
10.664,takeoff,2,3,1.4660079890683515
10.698,takeoff,2,3,1.4660079890350355
10.732,takeoff,2,3,1.466007989001719
10.766,takeoff,2,3,1.4660079889684028
10.8,takeoff,2,3,1.466007988936422
10.834,takeoff,2,3,1.4660079889271138
10.868,takeoff,2,3,1.4660079889003923
10.902,takeoff,2,3,1.4660079888778645
10.936,takeoff,2,3,1.4660079888621107
10.97,takeoff,2,3,1.4660079888407183
11.004,takeoff,2,3,1.4660079888241793
11.043,takeoff,2,3,1.4660079888001698
11.077,takeoff,2,3,1.4660079887758914
11.111,takeoff,2,3,1.4660079887593274
11.145,takeoff,2,3,1.4660079887378914
11.179,takeoff,2,3,1.4660079887183886
11.213,takeoff,2,3,1.466007988697107
11.247,takeoff,2,3,1.4660079886749153
11.281,takeoff,2,3,1.4660079886577335
11.315,takeoff,2,3,1.4660079886362087
11.349,takeoff,2,3,1.466007988619874
11.383,takeoff,2,3,1.4660079885910515
11.417,takeoff,2,3,1.4660079885781536
11.451,takeoff,2,3,1.4660079885523511
11.485,takeoff,2,3,1.4660079885391846
11.519,takeoff,2,3,1.46600798851457
11.554,takeoff,2,3,1.4660079884899273
11.588,takeoff,2,3,1.4660079884744919
11.622,takeoff,2,3,1.4660079884538102
11.657,takeoff,2,3,1.466007988436452
11.691,takeoff,2,3,1.4660079884074342
11.725,takeoff,2,3,1.4660079883900459
11.759,takeoff,2,3,1.4660079883687542
11.793,takeoff,2,3,1.4660079883573218
11.827,takeoff,2,3,1.4660079883298862
11.861,takeoff,2,3,1.4660079883047634
11.895,takeoff,2,3,1.4660079882884622
11.929,takeoff,2,3,1.4660079882474049
11.963,takeoff,2,3,1.4660079882247583
11.997,takeoff,2,3,1.4660079881974852
12.031,takeoff,2,3,1.4660079881549815
12.065,takeoff,2,3,1.4660079881368548
12.099,takeoff,2,3,1.466007988102527
12.133,takeoff,2,3,1.4660079880804808
12.167,takeoff,2,3,1.4660079880495807
12.201,takeoff,2,3,1.4660079880203163
12.235,takeoff,2,3,1.4660079879999983
12.269,takeoff,2,3,1.4660079879739107
12.303,takeoff,2,3,1.4660079879420698
12.337,takeoff,2,3,1.4660079879214107
12.371,takeoff,2,3,1.4660079878886956
12.405,takeoff,2,3,1.4660079878705594
12.439,takeoff,2,3,1.4660079878417818
12.473,takeoff,2,3,1.4660079878148264
12.507,takeoff,2,3,1.466007987784416
12.541,takeoff,2,3,1.4660079877668555
12.575,takeoff,2,3,1.4660079877409409
12.609,takeoff,2,3,1.4660079877096872
12.652,takeoff,2,3,1.466007987690252
12.686,takeoff,2,3,1.4660079876557701
12.72,takeoff,2,3,1.4660079876361471
12.754,takeoff,2,3,1.466007987605636
12.788,takeoff,2,3,1.4660079875854837
12.822,takeoff,2,3,1.4660079875572234
12.856,takeoff,2,3,1.4660079875394527
12.89,takeoff,2,3,1.4660079875154808
12.924,takeoff,2,3,1.466007987487536
12.958,takeoff,2,3,1.4660079874689453
12.992,takeoff,2,3,1.4660079874472092
13.026,takeoff,2,3,1.4660079874220655
13.06,takeoff,2,3,1.4660079873980743
13.094,takeoff,2,3,1.46600798737115
13.128,takeoff,2,3,1.4660079873573324
13.162,takeoff,2,3,1.4660079873210632
13.196,takeoff,2,3,1.4660079873025125
13.23,takeoff,2,3,1.4660079872738199
13.264,takeoff,2,3,1.4660079872539733
13.298,takeoff,2,3,1.4660079872191913
13.333,takeoff,2,3,1.4660079871997374
13.367,takeoff,2,3,1.4660079871795513
13.401,takeoff,2,3,1.4660079871535894
13.435,takeoff,2,3,1.4660079871285592
13.469,takeoff,2,3,1.4660079871062612
13.503,takeoff,2,3,1.4660079870851497
13.537,takeoff,2,3,1.4660079870632214
13.571,takeoff,2,3,1.4660079870346958
13.605,takeoff,2,3,1.4660079870171105
13.639,takeoff,2,3,1.46601211307555
13.673,takeoff,2,3,1.4660299788517834
