time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,eta_hat1,eta_hat2,eta_hat3,eta_hat4,fault_index
12.81,0.030706041076746883,0.030707214984179262,14.710573599649457,0.0,0.0,14.683333333333334,-0.004441288143519009,0.0044111005171035035,0.04902469597895015,14.373513863099259,-15.056440913767917,14.373940334790365,-13.877310059211492,1.0,0.8934127513951202,1.0,1.0,2.0
12.82,0.03046246667216034,0.030461184231563347,14.726982392056636,0.0,0.0,14.7,-0.004465109436750065,0.0044334492283211605,0.049049641875994886,14.374036374943444,-15.056197444280768,14.374429328682428,-13.877124926464237,1.0,0.8935361623014192,1.0,1.0,2.0
12.83,0.03022324337509844,0.0302195357545313,14.74339175886274,0.0,0.0,14.716666666666667,-0.004487526012333282,0.004455093705377979,0.04907438675843415,14.37457837857048,-15.055946992198193,14.374896626266612,-13.876937177742423,1.0,0.8936607232212415,1.0,1.0,2.0
12.84,0.029988392892284485,0.02998229162109461,14.759801721255574,0.0,0.0,14.733333333333334,-0.004508553741461842,0.004476045251161656,0.049098929703057376,14.375138700383014,-15.055691559252217,14.375343349549915,-13.876745110154655,1.0,0.8937864094066909,1.0,1.0,2.0
12.85,0.029757935444644966,0.029749472688264427,14.77621230003793,0.0,0.0,14.75,-0.004528234661917527,0.0044963073742421596,0.049123269807219615,14.375708866644874,-15.055432029988804,14.375777915004171,-13.876548067654998,1.0,0.8939131959704786,1.0,1.0,2.0
12.86,0.029531889770807424,0.02952109630707524,14.792623515025943,0.0,0.0,14.766666666666666,-0.004546673897039898,0.004515818259617302,0.0491474066693191,14.376282036871983,-15.055169458915326,14.37620710680121,-13.876345229323661,1.0,0.8940410578307016,1.0,1.0,2.0
12.870000000000001,0.02931027467558688,0.029297179479665494,14.809035385952036,0.0,0.0,14.783333333333335,-0.004563972356314872,0.004534507769039695,0.049171339939334265,14.376854724883364,-15.05490464637668,14.37663435749861,-13.876136015024276,1.0,0.8941699699291237,1.0,1.0,2.0
12.88,0.029093110808048286,0.029077743351397713,14.825447933717761,0.0,0.0,14.8,-0.0045801670977980045,0.004552379386537172,0.04919506873886386,14.377420483774868,-15.054638827760295,14.377066058539098,-13.875919438263216,1.0,0.8942999074155765,1.0,1.0,2.0
12.89,0.028880432756704592,0.028862820099725763,14.841861197297613,0.0,0.0,14.816666666666666,-0.004595409342215195,0.004569323220701634,0.04921859210709494,14.377972011280406,-15.054372171572359,14.377509395530499,-13.875695684820624,1.0,0.8944308192393632,1.0,1.0,2.0
12.9,0.028672266675154382,0.028652432316352384,14.858275209729598,0.0,0.0,14.833333333333334,-0.004609853603077471,0.004585190110104016,0.049241909455422964,14.378506367357966,-15.05410301727349,14.377967198115018,-13.875466625513832,1.0,0.8945626588502399,1.0,1.0,2.0
12.91,0.028468589234015174,0.028446559224360315,14.874689942825421,0.0,0.0,14.850000000000001,-0.004623376415118965,0.004600089435295061,0.0492650212756137,14.379027108746977,-15.053832211593669,14.378435999471991,-13.875231213825698,1.0,0.8946954649154145,1.0,1.0,2.0
12.92,0.028269413968700256,0.028245213175805785,14.891105414307296,0.0,0.0,14.866666666666667,-0.0046360214210403525,0.004613984896899271,0.049287927075347474,14.379534144897713,-15.053559344755943,14.378915829798958,-13.8749900039808,1.0,0.8948292124109573,1.0,1.0,2.0
12.93,0.028074789953358065,0.0280484389544444,14.907521688429076,0.0,0.0,14.883333333333333,-0.004647946951067378,0.004626744789092643,0.04931062518193185,14.380027138039905,-15.053282919056382,14.379406808847556,-13.874745004967842,1.0,0.8949638106098213,1.0,1.0,2.0
