time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,battery_voltage,voltage_margin,battery_low_active,esc_saturation_ratio,flight_mode,active_setpoint_source,safety_status,event_code,system_supervisor_keepalive
0.1,0.008494179823485297,0.01688113248502024,1.4550733376112316e-07,0.0,0.0,0.2,0.06674600258671393,2.051206647764191,-0.7690805823644437,88.85215824808276,-109.90627987135936,47.77359342817062,-80.5844684545234,16.0,0.7142857142857141,0.0,0.5,3.0,30.0,0.0,30.0,0.031
0.11,0.011006369903833876,0.020707668015947665,-1.318178607748353e-06,0.0,0.0,0.22000000000000003,1.5069058766997097,-2.8003724204753797,-0.5950988499808326,105.69796151057005,-96.4462157844631,35.29758527382195,-96.4462157844631,15.92,0.6857142857142855,0.0,0.75,3.0,30.0,0.0,30.0,0.031
0.12,0.014105133693702268,0.02487429268919004,-7.0096123912527685e-06,0.0,0.0,0.24,0.09426658793975438,0.1923490146061714,-2.6029263542746564,54.95114164882599,-98.34552078658588,90.33260297526257,-96.56384124928667,15.84,0.6571428571428569,0.0,0.75,3.0,30.0,0.0,30.0,0.031
0.13,0.017654693206832068,0.029642112211899038,-1.2292208286049478e-05,0.0,0.0,0.26,0.011958512991851253,2.0228773186371507,-1.4846441593415938,87.72976197365358,-120.51497279021658,52.46615202990094,-85.37820649722111,15.760000000000002,0.628571428571429,0.0,0.75,3.0,30.0,0.0,30.0,0.031
0.14,0.021412779080615185,0.03498230224645133,-1.3274268453364385e-05,0.0,0.0,0.28,1.4806137630126914,-2.7631458964606965,-1.3507664657489915,105.50652645101098,-105.50652645101098,35.10615021426288,-105.50652645101098,15.68,0.5999999999999998,0.0,0.75,3.0,30.0,0.0,30.0,0.031
0.15,0.025753980181061828,0.040601087017032585,-1.9573048268816113e-05,0.0,0.0,0.3,0.16047926429166534,0.19301797877449847,2.9522606173407575,61.9046698997487,-87.89284700594655,109.0935408825087,-97.95645836556307,15.600000000000001,0.5714285714285718,0.0,0.75,3.0,30.0,0.0,30.0,0.031
0.16,0.030500268597493434,0.04680489187442946,-2.475649471383114e-05,0.0,0.0,0.32,0.05486475175181315,2.093054885199409,-2.2098698738349105,108.99316450269751,-107.1039857603895,76.265812753658,-69.43096127268093,15.520000000000001,0.5428571428571431,0.0,0.5,3.0,30.0,0.0,30.0,0.031
0.17,0.03541932375634603,0.05353699740537941,-2.5913352660110164e-05,0.0,0.0,0.34,1.5431126718529922,-2.7172393479533308,-2.0025744234085527,119.57423621489335,-98.87543413075534,49.173859978145245,-98.87543413075534,15.440000000000001,0.5142857142857146,0.0,0.75,3.0,30.0,0.0,30.0,0.031
0.18,0.04089142898021533,0.06054284512006269,-3.201130209070552e-05,0.0,0.0,0.36,0.23387959509179151,0.2300647960313327,2.274032880328143,67.46845482103825,-82.82801547989335,121.640618139612,-99.0562283980677,15.360000000000001,0.48571428571428604,0.0,0.5,3.0,30.0,0.0,30.0,0.031
0.19,0.046732088632587036,0.068110877791711,-3.704567678015011e-05,0.0,0.0,0.38,0.10162863410501091,2.1982616633085614,-2.882696936147752,111.28098360556021,-111.57129333016277,81.4551667201473,-70.99673397882759,15.280000000000001,0.4571428571428574,0.0,0.5,3.0,30.0,0.0,30.0,0.031
