time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,eta_hat1,eta_hat2,eta_hat3,eta_hat4,fault_index
45.83,9.957505304568372,10.131920298962173,14.992845453963406,10.0,10.0,15.0,0.012882498143283832,0.00034688727523054104,-0.0645607354397886,13.71624616597084,-14.534287596604921,14.87672811623805,-14.534385245878202,0.9585454079110778,0.941183353746314,0.86850601795432,0.9367755178453023,3.0
45.84,9.957487592849157,10.131532416901955,14.992860022263221,10.0,10.0,15.0,0.012708082828270588,0.00035483039137538174,-0.0645011381014755,13.716730045149008,-14.533445999336637,14.876876874364143,-14.533815431324289,0.9586281647062156,0.9411400670498178,0.8683834336112839,0.9369017343934267,3.0
45.85,9.95747018205078,10.131134009182055,14.99287525120341,10.0,10.0,15.0,0.01253487780541789,0.0003629846245038136,-0.06444177432525619,13.717265724420395,-14.532572511005268,14.876969025299227,-14.533281027997553,0.9587107808534496,0.9410976414478409,0.8682617594610293,0.9370277364323634,3.0
45.86,9.957453136813909,10.13072325092882,14.992891239468113,10.0,10.0,15.0,0.012362762371804456,0.00037135078474964797,-0.06438268716832922,13.717837209236746,-14.531680494825189,14.877021126189785,-14.532769367753838,0.958793230106455,0.9410562700298266,0.868141199380423,0.9371534839325227,3.0
45.87,9.957436377418075,10.130303121648673,14.992907793185461,10.0,10.0,15.0,0.012191160698948758,0.0003798300295427155,-0.06432381136731491,13.718417102556781,-14.530787867325309,14.87706270978772,-14.532261638941169,0.9588755514757448,0.9410157277451341,0.8680215154242538,0.9372790363907992,3.0
45.88,9.957419976043514,10.129871569288783,14.99292502414969,10.0,10.0,15.0,0.012019769301796808,0.0003883821434856307,-0.06426519540240308,13.718986490688502,-14.529909420268408,14.877113394817934,-14.531743838947314,0.9589577155488044,0.9409762288248649,0.8679029338847861,0.9374043489486884,3.0
45.89,9.9574039537649,10.129428367154867,14.992942928330317,10.0,10.0,15.0,0.01184794057063047,0.0003968958365779494,-0.0642068475254727,13.719517241777046,-14.52906484342451,14.87720291808692,-14.531196515649397,0.9590397171501285,0.9409378411065132,0.8677855263856169,0.9375294137127668,3.0
45.9,9.957388317766851,10.128973578546166,14.992961490503856,10.0,10.0,15.0,0.011675234803992398,0.000405290454081849,-0.06414876844323938,13.719993654061664,-14.528264783715976,14.877347934731498,-14.530609120345265,0.9591215557908659,0.9409005895827546,0.8676693193436114,0.9376542299374631,3.0
45.910000000000004,9.95737307780507,10.128507329655362,14.99298068599213,10.0,10.0,15.0,0.011501006940230218,0.0004134451191383052,-0.06409095862284458,13.72039530924148,-14.527522939528822,14.877570129305573,-14.529968099622511,0.9592032311525469,0.9408645087729441,0.8675543492870922,0.9377787971370634,3.0
45.92,9.95735824291433,10.128029781836288,14.993000487464597,10.0,10.0,15.0,0.01132463196759654,0.0004212406396750396,-0.06403341800306994,13.720705927720935,-14.526850121123891,14.87788683774854,-14.529262798436287,0.9592847433062127,0.9408296314418102,0.8674406509463544,0.9379031154199156,3.0
45.93,9.957343821028616,10.127541105330058,14.993020867883342,10.0,10.0,15.0,0.011145620121679385,0.00042858042426888784,-0.06397614639180609,13.72091836101483,-14.526250860401278,14.878305761931864,-14.528488850845747,0.9593660924891999,0.9407959873790929,0.8673282559929136,0.9380271851479939,3.0
