time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,gps_valid,mid360_valid,estimator_quality,estimator_mode,degraded_nav_active,obstacle_avoid_active,flight_mode,active_setpoint_source,safety_status,event_code,system_supervisor_keepalive
0.1,0.008687175951152407,0.01713361001164808,3.43500601421937e-07,0.0,0.0,0.2,0.055348276352570225,2.0461241108050725,-0.7634365134877632,88.60689367765482,-110.15164439925235,48.02860674443275,-80.32955509572632,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.11,0.01141312063601613,0.02109083769815556,-2.7681393038746206e-06,0.0,0.0,0.22000000000000003,1.4849201183894531,-2.803639744130014,-0.6034445250297279,105.69883438684582,-96.44544596766798,35.298458150097716,-96.44544596766798,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.12,0.014648962736578786,0.02564939366141679,-5.63827871574215e-06,0.0,0.0,0.24,0.09266675876104463,0.18073762111064737,-2.5999130303276243,54.00184132173184,-97.5595946596608,91.32632516114455,-97.30551714443013,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.13,0.018456731572666484,0.030788749595064033,-9.286710662118348e-06,0.0,0.0,0.26,-0.03287261284615163,2.0453101465971093,-1.4294362883694567,86.71219813973434,-121.53245054779842,53.674719553602145,-84.16955289718254,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.14,0.022892360022522065,0.036551809566331465,-1.4367951431262849e-05,0.0,0.0,0.28,1.461090518543223,-2.75684979078464,-1.3221873091550045,105.50647056619063,-105.50647056619063,35.106094329442534,-105.50647056619063,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.15,0.02777407282808011,0.04308538220947551,-1.6230457687818982e-05,0.0,0.0,0.3,0.16407038204532384,0.20933260158860295,2.9882193004143076,60.6216341433601,-87.02327003340608,110.77871222493081,-98.4236511956505,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.16,0.033199022640895665,0.05017011935597749,-1.9286637684891455e-05,0.0,0.0,0.32,0.0020942497861382277,2.1221680353469528,-2.11438848847611,108.16006010138045,-107.9367139640903,77.29817564449374,-68.39822218422893,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.17,0.03923082614265672,0.057806736313256585,-2.437147517966032e-05,0.0,0.0,0.34,1.5164052109834836,-2.7047110727832493,-1.9361232828964763,119.93998722106332,-98.50923066515634,49.539610984315225,-98.50923066515634,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.18,0.04569420127131193,0.06609501105516696,-2.7254576009585295e-05,0.0,0.0,0.36,0.27170435967682705,0.27206464139845005,2.347133868942829,68.54171706155313,-81.75425474945871,121.49107914117602,-99.20526890658394,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.19,0.052670106317074146,0.07489180722447979,-3.0848002551282766e-05,0.0,0.0,0.38,0.13644641527220525,2.250157118907826,-2.8148384480097888,110.14453406127095,-112.70703906543176,82.25803191347883,-70.1931649764758,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.2,0.06024989189215798,0.08424900930664793,-3.6189765615575477e-05,0.0,0.0,0.4,-1.4460845463169991,-0.45330618300301695,0.6887774085318359,117.7434720071258,-99.05153166478888,55.474945536025366,-107.18338143043653,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.21,0.06825460667889835,0.0943917519565741,-3.643222042916974e-05,0.0,0.0,0.42000000000000004,0.28442642563838255,0.3956634226708196,1.7122891498860735,68.85485166713119,-93.99450467820316,121.57151332797272,-99.04389515403878,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
