time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,eta_hat1,eta_hat2,eta_hat3,eta_hat4,fault_index
13.32,0.023605059252842855,0.02350563301443449,15.288201156884792,0.0,0.0,15.0,-0.0012358260811895598,0.0013125116835573103,0.047720987576506356,10.273959721392874,-10.577894145675335,10.269180166643169,-9.852373753506482,1.0,0.9020540975360342,1.0,1.0,2.0
13.33,0.0235139105801044,0.023410448111301146,15.28671428573496,0.0,0.0,15.0,-0.0012349879107666402,0.0012963205335519248,0.04770626756784446,10.482753705252124,-10.80134962620934,10.478516824473296,-10.0582679678915,1.0,0.9022021847403805,1.0,1.0,2.0
13.34,0.02342343986592417,0.023315911973388663,15.284762720391253,0.0,0.0,15.0,-0.0012548722742421418,0.0012961747549170512,0.04769309901372499,10.69321893600328,-11.027245187929827,10.68973759893776,-10.265347624982525,1.0,0.9023504857987428,1.0,1.0,2.0
13.35,0.023333674668283105,0.023222061453180575,15.282367801166894,0.0,0.0,15.0,-0.0012955488783477336,0.0013122991154187404,0.047681488211107424,10.904508359942572,-11.25463421011949,10.90196346499021,-10.472782143849237,1.0,0.9024989966625826,1.0,1.0,2.0
13.36,0.023244652657209836,0.023128946605476593,15.279551356813988,0.0,0.0,15.0,-0.001356728174451342,0.0013448416116563036,0.04767143527104024,11.115831720149325,-11.482617335584733,11.11436061606209,-10.679798605332408,1.0,0.9026477132587938,1.0,1.0,2.0
13.370000000000001,0.023156421789319374,0.023036631627424413,15.27633569568523,0.0,0.0,15.0,-0.0014376468677864218,0.001393888761613817,0.04766293454917107,11.326452218143999,-11.7103289544905,11.326124343852731,-10.885675077583175,1.0,0.9027966315076018,1.0,1.0,2.0
13.38,0.02306904255635927,0.02294519500340597,15.27274343744037,0.0,0.0,15.0,-0.0015373963300207307,0.0014593968400719644,0.047655974661736954,11.535679959159705,-11.9369590456509,11.53650858802213,-11.089742903033311,1.0,0.9029457471820369,1.0,1.0,2.0
13.39,0.022982587844876338,0.02285473222245629,15.26879750408388,0.0,0.0,15.0,-0.0016545176430710056,0.001541276569794166,0.047650539026055615,11.742873648485578,-12.161725977817516,11.744790949586513,-11.291379154085764,1.0,0.9030950559746695,1.0,1.0,2.0
13.4,0.02289714435997044,0.02276535320672875,15.2645210023438,0.0,0.0,15.0,-0.001787535297562672,0.0016392485435356096,0.04764660585896539,11.94743015350744,-12.383900295648603,11.950307246166789,-11.490008198083585,1.0,0.9032445533447634,1.0,1.0,2.0
13.41,0.022812813659613202,0.022677185156646917,15.259937148198764,0.0,0.0,15.0,-0.0019347384525955126,0.001752903061729715,0.047644148348577185,12.148784568039492,-12.602794298300262,12.152437553631227,-11.685097660008665,1.0,0.9033942345205223,1.0,1.0,2.0
13.42,0.022729712668251845,0.02259037215687577,15.255069180943813,0.0,0.0,15.0,-0.0020942560590727546,0.0018816624372402575,0.04764313492370009,12.346406996477501,-12.817761982360615,12.350608175354413,-11.87615720959063,1.0,0.9035440944344351,1.0,1.0,2.0
13.43,0.022647973387642496,0.022505071122775396,15.249940273513408,0.0,0.0,15.0,-0.002264423386441563,0.0020246392487232776,0.04764352976973895,12.539796222816777,-13.028207652763953,12.544307733857163,-12.062740131433237,1.0,0.9036941275928491,1.0,1.0,2.0
13.44,0.02256774594059875,0.0224214591692078,15.244573462956646,0.0,0.0,15.0,-0.0024434346817345264,0.002180786570375041,0.047645292266140636,12.72847813556838,-13.233577513410694,12.733072597871345,-12.244435148053185,1.0,0.9038443281380545,1.0,1.0,2.0
13.450000000000001,0.022489193175535202,0.022339721980258097,15.238991554679961,0.0,0.0,15.0,-0.0026297272164983263,0.0023487225983475847,0.047648378509550525,12.912014592893213,-13.433364705832515,12.916493954528658,-12.420877526221794,1.0,0.903994689607615,1.0,1.0,2.0
13.46,0.022412496545191635,0.02226006236047759,15.233217044293086,0.0,0.0,15.0,-0.002821924596947625,0.0025267680197101554,0.047652740563226006,13.089986443902166,-13.627109473118445,13.094223190387208,-12.591737327942418,1.0,0.9041452050046572,1.0,1.0,2.0
13.47,0.022337852178294693,0.022182694642909406,15.227271949962834,0.0,0.0,15.0,-0.003018851598433823,0.002712992364906674,0.04765832775716916,13.262006175812077,-13.814398542178415,13.265961417683542,-12.756722127062975,1.0,0.9042958665916481,1.0,1.0,2.0
13.48,0.02226546319982702,0.022107837755284066,15.221177741058247,0.0,0.0,15.0,-0.0032192587476444637,0.0029054536677848887,0.047665087507421995,13.427748146431288,-13.994861955189775,13.431431378711018,-12.915582116188808,1.0,0.9044466657280491,1.0,1.0,2.0
13.49,0.022195556015858563,0.022035732355686944,15.21495586676573,0.0,0.0,15.0,-0.0034222263875696977,0.003101711675301821,0.04767296079556621,13.586886957674503,-14.168178273782807,13.590438304378273,-13.068104459701507,1.0,0.9045975935236835,1.0,1.0,2.0
13.5,0.02212835742165641,0.021966619003283505,15.208626796224255,0.0,0.0,15.0,-0.0036265899381413705,0.00329971051700418,0.047681888479591525,13.739176550757197,-14.334072273530248,13.74278388752123,-13.214108433214742,1.0,0.9047486397951222,1.0,1.0,2.0
13.51,0.022064103969550795,0.021900746641850842,15.202210428049613,0.0,0.0,15.0,-0.0038311828771096543,0.0034973863424042954,0.04769180873398805,13.884418950376668,-14.492315116421846,13.888301424304808,-13.353449163378249,1.0,0.904899793498438,1.0,1.0,2.0
13.52,0.02200304509732064,0.02183837528239069,15.195726238857597,0.0,0.0,15.0,-0.004034929689803875,0.0036925203027567167,0.047702656092782014,14.022452732226428,-14.642724061099843,14.026868852022815,-13.486019401862293,1.0,0.9050510428821428,1.0,1.0,2.0
13.530000000000001,0.02194542031470539,0.021779759241349426,15.18919248154328,0.0,0.0,15.0,-0.004236347143593894,0.00388376682164896,0.04771436442250064,14.153187292894964,-14.78516363938295,14.158356007304446,-13.61172988202838,1.0,0.9052023746819253,1.0,1.0,2.0
13.540000000000001,0.021891481589220864,0.021725162517041097,15.182626864370683,0.0,0.0,15.0,-0.004433965128534537,0.004069661409693804,0.047726865696037665,14.276588282742583,-14.919544750420643,14.282660186412564,-13.730531157806002,1.0,0.9053537747922621,1.0,1.0,2.0
13.55,0.021841475577258018,0.021674846043085828,15.176046174702408,0.0,0.0,15.0,-0.004626087668553048,0.004249224659376672,0.04774009023037338,14.39266959397199,-15.045819853053361,14.399695915169524,-13.842399906653899,1.0,0.9055052278848799,1.0,1.0,2.0
13.56,0.02179564151307329,0.0216290653501809,15.169466449408361,0.0,0.0,15.0,-0.004810889724090163,0.004421783460108047,0.04775396564059674,14.501467000480162,-15.163974872232073,14.50941719208268,-13.947342488656115,1.0,0.9056567175623387,1.0,1.0,2.0
13.57,0.021754216650240295,0.021588075785852465,15.162902544647922,0.0,0.0,15.0,-0.004986169893601118,0.004587364811955521,0.04776842064439509,14.60310834881262,-15.274047875436057,14.611758818915051,-14.045388671645332,1.0,0.9058082259605748,1.0,1.0,2.0
13.58,0.021717431819560488,0.02155212037632794,15.156368684829264,0.0,0.0,15.0,-0.005150198970594763,0.004745637431843224,0.04778338323538384,14.697693111673962,-15.376100195360044,14.706737331382252,-14.13659951806533,1.0,0.9059597342943071,1.0,1.0,2.0
13.59,0.021685507933642288,0.021521432960918453,15.149878100141262,0.0,0.0,15.0,-0.005301119814578587,0.004896688171033105,0.04779878144379213,14.785356076835667,-15.470228981690633,14.79439308669504,-14.221061231987887,1.0,0.9061112224802248,1.0,1.0,2.0
13.6,0.021658656284046365,0.021496235555288592,15.143443001119213,0.0,0.0,15.0,-0.005437114544989992,0.005040909739296893,0.04781454494653591,14.866262680707806,-15.556567446762926,14.874791321502181,-14.298881275855335,1.0,0.9062626691379133,1.0,1.0,2.0
13.61,0.02163708727028382,0.021476728806457658,15.137074960726522,0.0,0.0,15.0,-0.005557709149656042,0.005177608177128852,0.047830609111877566,14.940520440524992,-15.635272516415732,14.948096330028358,-14.370185614598663,1.0,0.9064140520769497,1.0,1.0,2.0
13.620000000000001,0.021620991830364825,0.021463098711620644,15.1307844097447,0.0,0.0,15.0,-0.005662074732083584,0.0053067952218275585,0.0478469090389455,15.008268250114622,-15.706530670309757,15.014494433851047,-14.43512552874403,1.0,0.9065653476224443,1.0,1.0,2.0
13.63,0.021610557194668024,0.02145551190986327,15.124580942445927,0.0,0.0,15.0,-0.005750167111726178,0.0054280578499809615,0.047863386907181886,15.069653470631904,-15.770557429167992,15.074199992392982,-14.49386107747287,1.0,0.9067165311610089,1.0,1.0,2.0
13.64,0.021605959121934182,0.02145411177104073,15.118473229582342,0.0,0.0,15.0,-0.0058226378785627055,0.0055406628037675395,0.047879990160913245,15.124805127115165,-15.827592095590278,15.127483653510186,-14.546567548039746,1.0,0.9068675769549546,1.0,1.0,2.0
13.65,0.021607360353142556,0.02145902020857672,15.112469051464036,0.0,0.0,15.0,-0.005880529244606873,0.005643734964595701,0.04789667051714504,15.173852271661291,-15.877891445415589,15.174649354385485,-14.593436820397484,1.0,0.9070184582208657,1.0,1.0,2.0
13.66,0.021614913185240996,0.02147034486105482,15.106575369090205,0.0,0.0,15.0,-0.0059246618280883595,0.0057366682904063685,0.04791338351276762,15.216991590143422,-15.921725178356688,15.215958466088416,-14.634673454725352,1.0,0.9071691473550229,1.0,1.0,2.0
13.67,0.021628756674930107,0.021488161672003053,15.100798194718895,0.0,0.0,15.0,-0.0059569989626360705,0.005818209638376939,0.04793009316299971,15.254375128951942,-15.959383150038128,15.251743925643881,-14.670489578594223,1.0,0.9073196156507669,1.0,1.0,2.0
