time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,eta_hat
0.128,0.0005341682511864892,-0.0005445882905023077,0.04015019363770229,0.0,0.0,0.256,0.02004847587203648,0.019287336812234993,-0.00018768025630445823,7.991668750191161,-7.042834250775482,6.076801455056986,-7.0286480991684845,1.0
0.13,0.0005695987424746096,-0.0005810267989489775,0.041940092163161566,0.0,0.0,0.26,0.0205558969993513,0.019726697962816325,-0.0001972432898169149,8.017438836345972,-7.0499216587647195,6.070301446210485,-7.040977262372942,1.0
0.132,0.0006066778269051862,-0.0006191836295332001,0.04377435262690217,0.0,0.0,0.264,0.021061824857438457,0.020161915150655112,-0.00020699364429460442,8.040614764011465,-7.0547166390450515,6.061941655486421,-7.051147157896097,1.0
0.134,0.0006454433641053952,-0.0006591015124813861,0.04565302805419543,0.0,0.0,0.268,0.021563763683190077,0.02059428799822213,-0.00021687727087145483,8.061221043179211,-7.0574257663427655,6.051779867777443,-7.059032494374621,1.0
0.136,0.0006859326459780882,-0.000700822581159309,0.047576154195267596,0.0,0.0,0.272,0.022059347805872973,0.021025070723783748,-0.00022683932577901184,8.07928503980433,-7.058241050964144,6.039870970503481,-7.064522508598094,1.0
0.138,0.0007281824558647082,-0.0007443882033685569,0.04954374985407596,0.0,0.0,0.276,0.022546633882892998,0.021455319472699477,-0.00023683049179749283,8.094841381767674,-7.057321588100348,6.026262460435176,-7.067539348696195,1.0
0.14,0.0007722291105345076,-0.000789838848390131,0.05155581719614485,0.0,0.0,0.28,0.023024289716820003,0.02188576937848708,-0.00024681183719411914,8.107933446531371,-7.054781659258604,6.010992885457214,-7.068049991044227,1.0
0.14200000000000002,0.0008181084742192733,-0.0008372139936218342,0.053612342065505796,0.0,0.0,0.28400000000000003,0.02349165407319569,0.02231673895594997,-0.0002567574393928392,8.118610918605896,-7.0506857673411645,5.994094237641553,-7.066071200359266,1.0
0.14400000000000002,0.0008658559425159282,-0.000886552059699356,0.055713294329507855,0.0,0.0,0.28800000000000003,0.023948689813641393,0.02274805652674064,-0.00026665483896881604,8.126924243303595,-7.045049184703578,5.97559746929607,-7.061668954087211,1.0
0.146,0.0009155064089115549,-0.0009378903593771238,0.057858628210234665,0.0,0.0,0.292,0.024395915605530605,0.023179018094465906,-0.00027650452335796006,8.132919991530272,-7.0378407019418905,5.955537109449979,-7.0549556598136185,1.0
0.148,0.0009670942022111722,-0.0009912650875582361,0.06004828259555891,0.0,0.0,0.296,0.024834277306409705,0.02360841883125208,-0.0002863177144008699,8.13663752582384,-7.02899125311249,5.933954597633432,-7.046081482782532,1.0
0.15,0.001020653005008624,-0.0010467113454754938,0.0622821813701687,0.0,0.0,0.3,0.025264990966188856,0.02403465541482328,-0.0002961133654736876,8.138107938842143,-7.018406756285923,5.910899349854386,-7.035221448475518,1.0
0.152,0.0010762157537995182,-0.0011042631899804529,0.0645602337752547,0.0,0.0,0.304,0.025689373131379114,0.024455893012655456,-0.0003059146052734866,8.137355607738016,-7.00598390262659,5.886427210655456,-7.022559589778711,1.0
0.154,0.0011338145336437034,-0.0011639536907527748,0.06688233476393164,0.0,0.0,0.308,0.02610868359140345,0.024870263064762546,-0.00031574512174886856,8.134401605101802,-6.991626261675781,5.8605970494843005,-7.008272779123616,1.0
0.156,0.0011934804706507528,-0.00122581498875528,0.06924836533845738,0.0,0.0,0.312,0.026523987853626054,0.025276070669832163,-0.0003256254716806554,8.129268138809193,-6.975259199103022,5.833466330706282,-6.992515751107297,1.0
0.158,0.001255243632407391,-0.0012898783421836204,0.07165819288233762,0.0,0.0,0.316,0.026936037790707475,0.02567195698448396,-0.00033556951999948723,8.121981343779908,-6.956841405891946,5.805088330760509,-6.97540951625304,1.0
0.16,0.0013191329403119845,-0.0013561741558141018,0.07411167151481104,0.0,0.0,0.32,0.027345174586188296,0.02605700095822461,-0.0003455813260441946,8.112571924481498,-6.936372155437299,5.77551149750879,-6.957034049584456,1.0
0.162,0.0013851761004106016,-0.0014247319871161256,0.07660864245784942,0.0,0.0,0.324,0.0277512657940641,0.026430752500915738,-0.00035565285320441416,8.101073847179116,-6.913893568565479,5.744780750512469,-6.937425978809658,1.0
0.164,0.0014533995576954026,-0.001495580525964237,0.07914893439190201,0.0,0.0,0.328,0.02815368650738107,0.026793205992639374,-0.0003657627787274577,8.08752202570143,-6.8894882006799625,5.712939778791468,-6.9165809629824695,1.0
0.166,0.0015238284764728402,-0.0015687475492506052,0.08173236379540515,0.0,0.0,0.332,0.028551353915316876,0.027144731329010987,-0.0003758766727546641,8.07195024407184,-6.863272612996287,5.680033090913543,-6.894460102467512,1.0
