time_s,position_x_m,position_y_m,position_z_m,position_ref_x_m,position_ref_y_m,position_ref_z_m,position_error_norm_m
43.52,11.128988067484174,3.453761286718331,26.88521874849589,10.0,10.0,15.0,13.615663041048993
43.53,11.137192403223121,3.4589287303872225,26.889361473752455,10.0,10.0,15.0,13.617479068081995
43.54,11.145392852659946,3.4641000310966965,26.893500188132712,10.0,10.0,15.0,13.619297335602434
43.550000000000004,11.153589415973878,3.4692751888788176,26.897634891623866,10.0,10.0,15.0,13.621117836419536
43.56,11.161782093337509,3.474454203761964,26.901765584212832,10.0,10.0,15.0,13.62294056335682
43.57,11.169970884915305,3.479637075770664,26.90589226588628,10.0,10.0,15.0,13.624765509252068
43.58,11.178155790862405,3.484823804925472,26.91001493663062,10.0,10.0,15.0,13.626592666957244
43.59,11.186336811323553,3.490014391242905,26.91413359643198,10.0,10.0,15.0,13.628422029338358
43.6,11.19451394643228,3.495208834735412,26.91824824527625,10.0,10.0,15.0,13.630253589275434
43.61,11.202687196310304,3.5004071354114314,26.92235888314907,10.0,10.0,15.0,13.632087339662364
43.62,11.210856561067091,3.505609293275471,26.92646551003586,10.0,10.0,15.0,13.633923273406818
43.63,11.219022040799539,3.510815308328201,26.930568125921788,10.0,10.0,15.0,13.635761383430102
43.64,11.227183635591933,3.5160251805666416,26.9346667307918,10.0,10.0,15.0,13.637601662667052
43.65,11.235341345516018,3.5212389099843713,26.938761324630658,10.0,10.0,15.0,13.639444104065921
43.660000000000004,11.243495170631192,3.526456496571746,26.94285190742289,10.0,10.0,15.0,13.64128870058822
43.67,11.251645110984775,3.531677940316135,26.946938479152852,10.0,10.0,15.0,13.64313544520863
43.68,11.259791166612553,3.5369032412022414,26.95102103980471,10.0,10.0,15.0,13.644984330914857
43.69,11.267933337539283,3.5421323992123845,26.95509958936248,10.0,10.0,15.0,13.646835350707534
43.7,11.276071623565388,3.547365414539198,26.959174127589197,10.0,10.0,15.0,13.648688497286196
43.71,11.284206025123243,3.552602286736347,26.96324465491149,10.0,10.0,15.0,13.650543764305823
43.72,11.29233654192946,3.557843016057998,26.96731117102993,10.0,10.0,15.0,13.652401144400082
43.730000000000004,11.30046317410181,3.563087602350811,26.971373676070414,10.0,10.0,15.0,13.654260630818369
43.74,11.308585921555377,3.5683360456547963,26.975432169959564,10.0,10.0,15.0,13.656122216537854
43.75,11.316704784263989,3.57358834594496,26.97948665269327,10.0,10.0,15.0,13.65798589464546
43.76,11.324819762195961,3.5788445031963736,26.983537124268324,10.0,10.0,15.0,13.65985165824115
43.77,11.332930855314954,3.5841045173845325,26.987583584681776,10.0,10.0,15.0,13.661719500437277
43.78,11.341038063580749,3.5893683884856586,26.991626033930544,10.0,10.0,15.0,13.663589414358153
43.79,11.349141386878962,3.5946361165476675,26.99566447193793,10.0,10.0,15.0,13.66546139303533
43.800000000000004,11.357240825306324,3.5999077014080036,26.999698898848212,10.0,10.0,15.0,13.667335429826611
43.81,11.36533637852893,3.6051831433317103,27.00372931436459,10.0,10.0,15.0,13.669211517472368
43.82,11.373428046930075,3.61046244187248,27.00775571893489,10.0,10.0,15.0,13.671089649783953
43.83,11.381515830245851,3.6157455972284946,27.01177811234448,10.0,10.0,15.0,13.672969819637764
43.84,11.389599728428362,3.621032609385776,27.01579649460563,10.0,10.0,15.0,13.674852020243026
43.85,11.39767974143052,3.62632347833232,27.01981086573263,10.0,10.0,15.0,13.676736244822713
43.86,11.40575586920658,3.6316182040581144,27.023821225740775,10.0,10.0,15.0,13.67862248661272
43.87,11.41382811171248,3.6369167865550374,27.02782757464588,10.0,10.0,15.0,13.680510738861518
43.88,11.421896468906205,3.642219225816775,27.031829912463945,10.0,10.0,15.0,13.682400994829962
43.89,11.429960940748064,3.6475255218387006,27.035828239211103,10.0,10.0,15.0,13.684293247791324
43.9,11.438021527200945,3.6528356746177715,27.039822554903456,10.0,10.0,15.0,13.686187491031246
