run,mission,status,blockers,hover_xy_rmse,hover_xy_max,hover_z_rmse,hover_z_max,fig_tsync_rmse_xy,fig_tsync_p95_xy,fig_tsync_max_xy,spiral_rmse_xyz,spiral_p95_xyz,spiral_max_xyz,spiral_rmse_z,spiral_max_z
sunray_ros1_pid_spiral_kp95_kv52_z306_r05_h035_p52_lead02_imu400_20260621_082031,spiral_climb,blocked,spiral_max_xyz_error_above_max:0.069,0.007559705657828289,0.012526198072394733,0.012366270556375855,0.01976370926247295,,,,0.02964827166509773,0.048230998197948446,0.06877525706414812,0.021792468714600985,0.06425659652951898
sunray_ros1_pid_spiral_kp95_kv52_z306_r05_h035_p44_smoothz_lead02_imu400_20260621_082608,spiral_climb,blocked,spiral_p95_xyz_error_above_max:0.052;spiral_max_xyz_error_above_max:0.065,0.012238616728918865,0.02930347659457521,0.014096204782712623,0.022351637882887188,,,,0.029808808931344185,0.05152719437597279,0.06508745340840312,0.022336023054592435,0.06349390908444286
sunray_ros1_pid_spiral_kp95_kv52_z306_r05_h035_p44_lead02_zcmd02_imu400_20260621_083058,spiral_climb,blocked,steady_hover_z_rmse_above_max:0.037;steady_hover_z_error_above_max:0.059;steady_hover_xy_rmse_above_max:0.031;spiral_p95_xyz_error_above_max:0.058;spiral_max_xyz_error_above_max:0.080,0.030699242439172176,0.040924798443142424,0.036640248411817754,0.059312119428952315,,,,0.03462641370693091,0.05772331021307043,0.07952320130856659,0.02330213287753345,0.07168382012188679
sunray_ros1_pid_spiral_kp95_kv52_hov385_z306_r05_h035_p44_lead02_imu400_20260621_083600,spiral_climb,blocked,spiral_p95_xyz_error_above_max:0.050;spiral_max_xyz_error_above_max:0.068,0.01098875504418141,0.023205418108502233,0.012322796603454726,0.019547635208430725,,,,0.030393223406248743,0.05026581091664141,0.06772305369143324,0.02277934939692524,0.06298472427139057
sunray_ros1_pid_spiral_kp95_kv52_z306_r045_h035_p44_lead02_imu400_20260621_084037,spiral_climb,blocked,spiral_max_xyz_error_above_max:0.066,0.013746307504955412,0.030883964055339472,0.012351721871050984,0.020328271790271968,,,,0.029747145168840854,0.04911665239837584,0.06645587540986633,0.022379074042995682,0.062399463140839107
sunray_ros1_pid_spiral_kp95_kv52_z306_r05_h025_p44_lead02_imu400_20260621_084508,spiral_climb,blocked,spiral_p95_xyz_error_above_max:0.051;spiral_max_xyz_error_above_max:0.068,0.012273732527876008,0.027724681005440576,0.012676982082807632,0.020745058509634262,,,,0.030340341445478477,0.050952008562621304,0.06804692821304671,0.022813294519380675,0.063915728519227
sunray_ros1_pid_spiral_kp95_kv52_z306_r05_h035_p44_lead02_entrysettle5_imu400_20260621_085031,spiral_climb,blocked,spiral_p95_xyz_error_above_max:0.051;spiral_max_xyz_error_above_max:0.071,0.008131589965158269,0.015564464102382384,0.012026074492308478,0.019348012048243435,,,,0.03055737977368419,0.05133899376096672,0.07137675966079096,0.02289237437593927,0.06643089933054558
sunray_ros1_pid_spiral_z25v40i06_r05_h035_p44_lead02_imu400_20260621_085528,spiral_climb,blocked,spiral_p95_xyz_error_above_max:0.062;spiral_max_xyz_error_above_max:0.079,0.010260801231362304,0.02190885379743631,0.01931237741345635,0.030226127196598895,,,,0.03447434282540876,0.061965377187027805,0.07911824317635097,0.02767688039118833,0.07873359358718601
sunray_ros1_pid_spiral_z27v36i06_r05_h035_p44_lead02_imu400_20260621_085936,spiral_climb,blocked,spiral_p95_xyz_error_above_max:0.057;spiral_max_xyz_error_above_max:0.076,0.019468802999629053,0.031228897608021965,0.019540356260397986,0.02990230502493163,,,,0.03224142377214701,0.057355175567835585,0.07555204513626923,0.025319251370223516,0.07362330090344393
sunray_ros1_pid_spiral_z30v40i06_r05_h035_p44_lead02_imu400_20260621_090338,spiral_climb,blocked,steady_hover_z_rmse_above_max:0.022;steady_hover_z_error_above_max:0.052;steady_hover_xy_rmse_above_max:0.025;spiral_p95_xyz_error_above_max:0.059;spiral_max_xyz_error_above_max:0.074,0.02513406388950647,0.038109417351163605,0.021528892977467417,0.05173537504386205,,,,0.033961097242808755,0.058938080382633734,0.07445346013877793,0.02575657130616033,0.06995867923552967
sunray_ros1_pid_spiral_kp95_kv52_z306_r05_h035_p44_cmd50_lead02_imu400_20260621_090806,spiral_climb,blocked,steady_hover_z_rmse_above_max:0.023;steady_hover_xy_rmse_above_max:0.021;spiral_p95_xyz_error_above_max:0.052;spiral_max_xyz_error_above_max:0.066,0.02146179454867219,0.029905606195133487,0.023262123527330546,0.032721949230117175,,,,0.03110869152305702,0.05201654597283839,0.06595987726037966,0.02277814411618064,0.06258202384607703
